 Procedimentos hospitalares do SUS - por local de internação - Brasil
InternaçõesValor totalDias permanênciaÓbitos por Município
Procedimento: todos, exceto Covid
Período:Abr-Dez/2020
"Município";"Internações";"Valor_total";"Dias_permanência";"Óbitos"
"130310 Nova Olinda do Norte";216;104351,84;562;-
"130320 Novo Airão";479;255573,98;1058;9
"130330 Novo Aripuanã";148;48309,86;518;-
"130340 Parintins";3443;1488688,36;12054;71
"130350 Pauini";148;57467,28;469;1
"130353 Presidente Figueiredo";279;115518,39;953;3
"130356 Rio Preto da Eva";149;62874,76;414;1
"130360 Santa Isabel do Rio Negro";226;98327,56;686;5
"130370 Santo Antônio do Içá";541;177943,59;1595;13
"130380 São Gabriel da Cachoeira";473;176614,37;2157;20
"130390 São Paulo de Olivença";538;217508,69;1394;12
"130395 São Sebastião do Uatumã";179;76469,76;360;2
"130406 Tabatinga";1182;623303,54;3695;23
"130410 Tapauá";269;114075,64;748;3
"130420 Tefé";2611;1094784,01;8478;42
"130423 Tonantins";480;177597,52;1202;1
"130426 Uarini";540;291687,12;1133;6
"130430 Urucará";157;66799,63;402;2
"140005 Alto Alegre";142;42568,46;558;2
"140010 Boa Vista";24289;20857664,38;138805;909
"140015 Bonfim";50;18376,92;73;-
"140020 Caracaraí";102;42499,68;269;3
"140023 Caroebe";155;32862,69;284;-
"140030 Mucajaí";115;33661,95;413;2
"140040 Normandia";255;95172,02;521;1
"140045 Pacaraima";198;74157,43;477;1
"140047 Rorainópolis";1324;560971,71;3787;3
"140050 São João da Baliza";138;21255,58;245;-
"140060 São Luiz";64;16718,66;238;-
"150010 Abaetetuba";4276;1857589,26;14572;29
"150013 Abel Figueiredo";125;46661,11;360;1
"150020 Acará";645;255946,81;1727;19
"150030 Afuá";687;261578,31;2077;-
"150034 Água Azul do Norte";648;239220,80;1692;11
"150040 Alenquer";2757;1131922,93;7116;86
"150050 Almeirim";564;238052,24;1159;10
"150060 Altamira";6870;7334969,32;32853;324
"150070 Anajás";910;323691,61;1884;11
"150080 Ananindeua";24036;25715721,02;104679;523
"150085 Anapu";985;802575,23;3981;-
"150090 Augusto Corrêa";1983;972916,46;7250;5
"150095 Aurora do Pará";608;268181,00;1925;4
"150120 Baião";685;290294,45;1943;7
"150125 Bannach";91;26332,72;249;8
"150130 Barcarena";4500;3796151,70;17608;65
"150140 Belém";67666;132172890,28;386559;3401
"150145 Belterra";186;62511,19;479;6
"150157 Bom Jesus do Tocantins";567;202075,67;1425;-
"150170 Bragança";6873;7260612,86;27517;176
"150172 Brasil Novo";885;471773,42;2223;9
"150175 Brejo Grande do Araguaia";409;143090,62;1156;-
"150178 Breu Branco";607;237219,06;1818;-
"150180 Breves";4291;4020345,06;19841;118
"150190 Bujaru";1368;640362,02;4509;5
"150200 Cachoeira do Arari";624;203390,09;1536;1
"150210 Cametá";455;219942,31;1476;7
"150215 Canaã dos Carajás";1248;545485,47;4320;31
"150220 Capanema";2764;2413707,45;8405;14
"150230 Capitão Poço";1079;611511,63;3077;-
"150240 Castanhal";13499;8504366,33;39004;277
"150250 Chaves";91;30906,01;187;-
"150270 Conceição do Araguaia";3051;1600681,01;9834;16
"150275 Concórdia do Pará";491;205533,01;1715;-
"150276 Cumaru do Norte";308;111935,01;1047;-
"150277 Curionópolis";794;279071,64;1006;2
"150280 Curralinho";674;270094,52;1517;12
"150293 Dom Eliseu";1314;585524,30;2672;36
"150295 Eldorado do Carajás";495;197679,32;1380;-
"150300 Faro";257;81403,96;549;1
"150304 Floresta do Araguaia";433;168988,02;752;-
"150307 Garrafão do Norte";325;166341,48;1005;1
"150309 Goianésia do Pará";611;281681,97;2381;-
"150310 Gurupá";599;248768,38;1249;9
"150320 Igarapé-Açu";363;163817,63;1368;23
"150330 Igarapé-Miri";4591;1560291,58;11611;34
"150340 Inhangapi";10;3508,53;50;-
"150345 Ipixuna do Pará";1465;710992,67;4316;13
"150360 Itaituba";2224;994087,46;6057;83
"150370 Itupiranga";660;310343,59;1647;17
"150375 Jacareacanga";254;104442,99;481;14
"150380 Jacundá";1050;472141,69;2719;3
"150390 Juruti";1260;552101,79;2645;6
"150400 Limoeiro do Ajuru";688;291928,04;1956;-
"150405 Mãe do Rio";916;386109,44;2544;8
"150420 Marabá";10620;9531875,44;47245;479
"150430 Maracanã";313;121189,44;967;5
"150440 Marapanim";234;102696,66;497;16
"150442 Marituba";3772;3153881,86;13302;55
"150445 Medicilândia";452;200290,18;1042;-
"150450 Melgaço";526;185257,74;1371;-
"150460 Mocajuba";1181;680997,65;3941;1
"150470 Moju";1184;483521,50;3319;31
"150480 Monte Alegre";1914;673262,83;4735;48
"150490 Muaná";803;312016,75;1842;14
"150495 Nova Esperança do Piriá";638;221222,83;1832;3
"150497 Nova Ipixuna";39;13414,93;127;-
"150503 Novo Progresso";1225;460310,01;2326;28
"150506 Novo Repartimento";936;384856,36;3226;6
"150510 Óbidos";1401;558842,72;5666;58
"150520 Oeiras do Pará";651;282297,56;1534;4
"150530 Oriximiná";2205;1098226,00;6684;45
"150540 Ourém";359;213643,07;1173;11
"150543 Ourilândia do Norte";2279;847878,18;6395;8
"150548 Pacajá";781;310869,48;1966;7
"150549 Palestina do Pará";217;73207,95;553;4
"150550 Paragominas";4518;4004816,77;20411;258
"150553 Parauapebas";5846;4231375,88;24511;213
"150555 Pau D'Arco";174;63445,00;507;3
"150563 Piçarra";394;94071,15;784;-
"150565 Placas";753;197587,60;1331;7
"150570 Ponta de Pedras";320;103012,33;749;-
"150580 Portel";953;448794,21;1833;-
"150590 Porto de Moz";1584;546110,46;3613;1
"150600 Prainha";695;303243,32;1774;1
"150613 Redenção";5769;6144407,61;29638;323
"150616 Rio Maria";695;285269,67;1776;7
"150618 Rondon do Pará";2243;776124,53;5386;12
"150619 Rurópolis";815;326066,39;2230;4
"150620 Salinópolis";1624;749269,92;5064;40
"150630 Salvaterra";707;316925,28;1694;15
"150640 Santa Cruz do Arari";319;97686,35;990;-
"150650 Santa Izabel do Pará";496;183888,78;4215;39
"150658 Santa Maria das Barreiras";447;144727,98;978;-
"150660 Santa Maria do Pará";428;100385,03;1065;11
"150670 Santana do Araguaia";1352;538042,68;3888;-
"150680 Santarém";13379;14117144,61;76322;670
"150700 Santo Antônio do Tauá";1999;775874,89;6188;-
"150715 São Domingos do Araguaia";168;58458,07;501;-
"150720 São Domingos do Capim";492;199197,40;2104;4
"150730 São Félix do Xingu";3520;1492658,84;9494;30
"150745 São Geraldo do Araguaia";312;103774,30;980;9
"150747 São João de Pirabas";389;122927,50;1322;8
"150750 São João do Araguaia";83;27237,31;213;-
"150760 São Miguel do Guamá";268;108577,95;931;11
"150770 São Sebastião da Boa Vista";733;301301,50;1885;1
"150775 Sapucaia";208;69367,48;614;4
"150780 Senador José Porfírio";525;151666,82;1202;2
"150790 Soure";1231;445794,51;2374;27
"150795 Tailândia";2815;1241528,35;8945;104
"150797 Terra Santa";431;159538,15;1326;3
"150800 Tomé-Açu";2125;976253,25;5311;18
"150803 Tracuateua";220;84027,18;655;-
"150805 Trairão";739;229942,81;1851;14
"150808 Tucumã";2356;1078180,08;6351;26
"150810 Tucuruí";2168;1584323,27;10210;43
"150812 Ulianópolis";939;424741,71;2164;3
"150815 Uruará";1615;647830,74;4692;14
"150820 Vigia";855;385653,34;3836;41
"150830 Viseu";1354;532549,63;3793;19
"150835 Vitória do Xingu";708;341164,30;2595;4
"150840 Xinguara";1626;666377,45;3503;28
"160010 Amapá";135;48212,09;479;-
"160020 Calçoene";140;43046,53;246;1
"160027 Laranjal do Jari";2152;962901,07;5519;74
"160030 Macapá";15115;13950709,27;82342;450
"160040 Mazagão";52;16130,79;160;-
"160050 Oiapoque";829;336936,58;2245;6
"160015 Pedra Branca do Amapari";106;47346,10;310;1
"160053 Porto Grande";71;22524,84;126;-
"160060 Santana";2085;1013530,57;7413;51
"160005 Serra do Navio";16;6580,00;33;-
"160070 Tartarugalzinho";53;23014,24;61;-
"170070 Alvorada";51;16153,80;150;-
"170100 Ananás";23;8265,66;261;-
"170200 Araguaçu";166;49344,11;571;3
"170210 Araguaína";6310;8667789,53;40111;222
"170220 Araguatins";105;47154,04;133;1
"170230 Arapoema";150;52121,13;399;4
"170240 Arraias";155;57375,14;365;3
"170255 Augustinópolis";1422;726896,21;5062;61
"170370 Brejinho de Nazaré";32;10721,77;67;-
"170550 Colinas do Tocantins";390;147256,23;1173;27
"170610 Cristalândia";128;41597,11;397;-
"170700 Dianópolis";191;83843,64;430;7
"170710 Divinópolis do Tocantins";22;7339,28;79;-
"170820 Formoso do Araguaia";21;8020,25;71;-
"170900 Goiatins";59;19914,59;213;-
"170930 Guaraí";615;342527,44;2002;16
"170950 Gurupi";2202;2121543,54;10711;100
"171050 Itacajá";83;32490,39;238;1
"171190 Lagoa da Confusão";97;33255,96;294;-
"171320 Miracema do Tocantins";740;511390,55;2334;9
"171420 Natividade";52;22527,90;165;-
"172100 Palmas";8594;12458263,18;53207;443
"171575 Palmeirópolis";23;14492,11;95;-
"171610 Paraíso do Tocantins";1172;546642,01;3724;14
"171620 Paranã";311;128246,76;836;5
"171650 Pedro Afonso";222;97241,38;677;3
"171660 Peixe";184;77917,85;399;3
"171750 Pium";93;26707,01;214;5
"171790 Ponte Alta do Tocantins";18;6496,98;25;-
"171820 Porto Nacional";1749;914242,41;7205;33
"172065 Silvanópolis";2;511,30;14;-
"172090 Taguatinga";107;35936,37;293;1
"172120 Tocantinópolis";590;271565,86;1328;-
"172210 Xambioá";337;114223,72;1014;10
"210005 Açailândia";4395;2400333,24;14094;74
"210010 Afonso Cunha";603;264936,10;2306;-
"210020 Alcântara";100;38837,52;208;1
"210030 Aldeias Altas";422;131699,11;1100;-
"210043 Alto Alegre do Maranhão";2055;1196928,36;4476;27
"210047 Alto Alegre do Pindaré";876;353862,97;1746;2
"210050 Alto Parnaíba";10;3387,82;41;-
"210060 Amarante do Maranhão";1382;568779,84;3387;7
"210070 Anajatuba";147;50841,63;287;1
"210080 Anapurus";505;181866,35;1205;1
"210083 Apicum-Açu";602;182187,45;1731;-
"210090 Araioses";89;37109,51;139;-
"210095 Arame";1205;424576,91;1832;2
"210100 Arari";77;33730,03;161;-
"210110 Axixá";13;4572,92;29;-
"210120 Bacabal";5386;4401179,97;19918;264
"210130 Bacuri";292;107380,82;587;-
"210140 Balsas";5695;3324544,53;20918;151
"210150 Barão de Grajaú";192;58062,30;868;-
"210160 Barra do Corda";2283;1114323,61;5297;4
"210170 Barreirinhas";2711;1500097,62;11020;84
"210177 Bela Vista do Maranhão";692;199868,69;1414;-
"210190 Bequimão";433;161023,96;1095;-
"210193 Bernardo do Mearim";25;8679,78;53;-
"210200 Bom Jardim";674;258431,32;1976;-
"210203 Bom Jesus das Selvas";610;287891,19;1145;6
"210210 Brejo";949;412818,51;1987;8
"210230 Buriti Bravo";1009;334918,85;2308;-
"210232 Buriticupu";1737;796632,77;2838;-
"210240 Cajapió";272;117567,59;625;3
"210250 Cajari";178;81600,17;277;-
"210260 Cândido Mendes";141;51142,71;220;-
"210270 Cantanhede";525;162966,78;1393;-
"210280 Carolina";533;243526,43;1479;-
"210290 Carutapera";1235;668893,63;3221;7
"210300 Caxias";8411;7976880,06;43169;452
"210310 Cedral";386;105688,27;937;-
"210312 Central do Maranhão";232;71503,34;438;-
"210320 Chapadinha";3178;1548465,36;7600;33
"210325 Cidelândia";702;235539,90;1320;-
"210330 Codó";3042;1631627,64;13364;141
"210340 Coelho Neto";1170;576629,93;2645;24
"210350 Colinas";2835;1452033,72;5909;24
"210355 Conceição do Lago-Açu";228;55796,61;684;-
"210360 Coroatá";1986;2728998,31;8372;88
"210370 Cururupu";2946;1198476,43;8944;50
"210380 Dom Pedro";674;211637,07;937;-
"210400 Esperantinópolis";779;396549,63;1844;-
"210405 Estreito";855;343360,38;1953;-
"210407 Feira Nova do Maranhão";425;131832,28;1036;1
"210408 Fernando Falcão";69;27178,80;108;-
"210409 Formosa da Serra Negra";422;158826,20;1171;-
"210410 Fortaleza dos Nogueiras";550;181037,71;1979;1
"210420 Fortuna";459;192708,64;1286;1
"210440 Gonçalves Dias";1224;377047,88;2739;4
"210450 Governador Archer";387;116608,10;792;-
"210455 Governador Edison Lobão";191;52336,76;366;-
"210460 Governador Eugênio Barros";309;130762,38;693;-
"210462 Governador Luiz Rocha";237;93598,64;708;-
"210465 Governador Newton Bello";182;59946,32;386;-
"210467 Governador Nunes Freire";3382;1417650,78;5920;55
"210480 Grajaú";3882;1844972,81;11116;86
"210490 Guimarães";656;163951,04;1384;-
"210500 Humberto de Campos";877;325189,38;2163;1
"210510 Icatu";426;167928,07;985;5
"210515 Igarapé do Meio";129;67255,86;460;4
"210520 Igarapé Grande";321;141959,54;793;1
"210530 Imperatriz";17097;23033845,21;92046;1041
"210535 Itaipava do Grajaú";522;176760,14;654;3
"210540 Itapecuru Mirim";1968;1114146,67;6384;11
"210542 Itinga do Maranhão";341;130385,53;685;-
"210545 Jatobá";185;60512,15;403;-
"210547 Jenipapo dos Vieiras";285;86424,46;469;-
"210550 João Lisboa";419;144206,74;1102;-
"210570 Lago da Pedra";3114;1319219,52;4717;23
"210580 Lago do Junco";106;45242,14;273;-
"210596 Lagoa Grande do Maranhão";164;66548,74;329;-
"210600 Lima Campos";518;204618,13;1213;5
"210610 Loreto";304;117638,35;894;-
"210630 Magalhães de Almeida";248;80160,37;571;-
"210637 Maranhãozinho";701;176274,19;1623;-
"210640 Mata Roma";86;40080,19;257;-
"210650 Matinha";456;189092,53;1149;-
"210660 Matões";316;111694,17;536;7
"210667 Milagres do Maranhão";130;40162,67;263;-
"210670 Mirador";904;520974,89;3559;3
"210675 Miranda do Norte";297;114602,43;607;2
"210690 Monção";1337;571678,24;5377;24
"210710 Morros";746;330903,20;1667;3
"210720 Nina Rodrigues";255;83200,27;910;-
"210725 Nova Colinas";102;30477,70;229;-
"210735 Nova Olinda do Maranhão";838;268161,51;1710;-
"210740 Olho d'Água das Cunhãs";758;309025,63;2314;-
"210745 Olinda Nova do Maranhão";618;237542,10;1236;-
"210750 Paço do Lumiar";71;37408,24;521;6
"210760 Palmeirândia";436;148956,51;1060;-
"210770 Paraibano";492;151171,72;1408;-
"210780 Parnarama";143;62703,36;459;8
"210790 Passagem Franca";3006;1199939,76;8959;4
"210800 Pastos Bons";743;263542,36;2280;-
"210805 Paulino Neves";511;259741,80;1389;1
"210810 Paulo Ramos";1156;421876,05;1928;1
"210820 Pedreiras";3024;1012968,96;7015;40
"210825 Pedro do Rosário";174;64117,93;392;-
"210830 Penalva";722;298592,12;1378;1
"210845 Peritoró";2011;1116097,51;8823;64
"210860 Pinheiro";5497;4246010,07;21793;188
"210870 Pio XII";591;202372,44;1777;-
"210880 Pirapemas";266;116476,53;648;2
"210890 Poção de Pedras";493;171869,40;1584;13
"210900 Porto Franco";1474;607997,42;4068;1
"210905 Porto Rico do Maranhão";11;3640,90;23;-
"210910 Presidente Dutra";5426;5848651,75;24753;377
"210927 Presidente Sarney";433;138932,27;923;-
"210930 Presidente Vargas";185;39272,50;1267;-
"210940 Primeira Cruz";385;103231,61;1116;-
"210945 Raposa";45;31432,89;193;-
"210950 Riachão";1109;348535,02;2611;-
"210960 Rosário";1386;513607,70;3524;-
"210970 Sambaíba";220;72176,76;856;-
"210980 Santa Helena";847;349726,98;1606;13
"210990 Santa Inês";6130;3731384,33;21107;256
"211000 Santa Luzia";1773;853747,03;4614;6
"211003 Santa Luzia do Paruá";54;17902,35;360;13
"211010 Santa Quitéria do Maranhão";487;225419,74;1369;-
"211020 Santa Rita";688;268267,90;1415;-
"211023 Santana do Maranhão";45;14618,00;94;-
"211027 Santo Amaro do Maranhão";479;158892,03;1046;-
"211030 Santo Antônio dos Lopes";394;139330,44;1225;-
"211040 São Benedito do Rio Preto";108;31798,24;322;-
"211050 São Bento";887;342134,51;2063;1
"211060 São Bernardo";1146;366759,99;4224;-
"211065 São Domingos do Azeitão";208;68703,63;466;-
"211070 São Domingos do Maranhão";595;227773,29;2385;-
"211080 São Félix de Balsas";284;93993,36;715;-
"211085 São Francisco do Brejão";373;117410,00;1046;-
"211090 São Francisco do Maranhão";128;55542,36;297;6
"211100 São João Batista";789;248476,52;1745;1
"211102 São João do Carú";222;96220,84;677;1
"211107 São João do Soter";664;216175,74;2017;-
"211110 São João dos Patos";560;162173,49;1595;14
"211120 São José de Ribamar";1797;981338,66;4846;22
"211125 São José dos Basílios";52;16010,51;152;-
"211130 São Luís";63878;114295288,29;623816;3673
"211140 São Luís Gonzaga do Maranhão";722;207794,77;924;-
"211150 São Mateus do Maranhão";672;137516,90;1125;14
"211153 São Pedro da Água Branca";646;232054,44;1388;-
"211157 São Pedro dos Crentes";761;221489,04;2730;-
"211160 São Raimundo das Mangabeiras";643;276234,46;2317;-
"211170 São Vicente Ferrer";1071;305250,75;2442;-
"211172 Satubinha";2;411,34;7;-
"211174 Senador Alexandre Costa";40;16436,87;115;-
"211180 Sítio Novo";389;147862,39;1005;7
"211190 Sucupira do Norte";95;40027,32;227;-
"211195 Sucupira do Riachão";320;92518,95;695;5
"211200 Tasso Fragoso";157;52203,00;602;-
"211210 Timbiras";2573;1372656,63;6779;51
"211220 Timon";4870;3124222,77;15023;80
"211223 Trizidela do Vale";382;178412,41;1167;12
"211227 Tufilândia";122;35656,79;239;-
"211230 Tuntum";2802;996376,44;5731;19
"211250 Tutóia";1509;581263,23;3800;3
"211260 Urbano Santos";1053;472425,79;2553;4
"211270 Vargem Grande";1237;517793,38;3021;11
"211280 Viana";1184;572341,07;3209;31
"211285 Vila Nova dos Martírios";217;79074,02;513;2
"211290 Vitória do Mearim";44;19459,36;69;-
"211300 Vitorino Freire";1629;508328,17;2356;7
"211400 Zé Doca";1412;677886,61;4017;22
"220010 Agricolândia";14;4316,80;44;1
"220020 Água Branca";366;173476,69;1232;16
"220025 Alagoinha do Piauí";105;33530,26;364;-
"220030 Alto Longá";64;25657,72;265;1
"220040 Altos";439;212437,66;1607;14
"220050 Amarante";496;164971,01;940;19
"220100 Arraial";70;26697,23;249;-
"220120 Barras";629;277235,96;2020;17
"220150 Batalha";299;100971,64;910;-
"220160 Beneditinos";120;43397,45;589;-
"220180 Bocaina";168;107891,26;504;-
"220190 Bom Jesus";2058;921737,23;5695;59
"220220 Campo Maior";3265;1396753,61;8517;43
"220230 Canto do Buriti";547;209035,90;1370;-
"220260 Castelo do Piauí";213;95266,76;746;4
"220290 Corrente";978;483275,99;2400;18
"220310 Cristino Castro";503;338406,66;1535;-
"220320 Curimatá";602;290368,74;1656;5
"220330 Demerval Lobão";435;309877,82;1093;-
"220350 Elesbão Veloso";351;116732,69;1222;5
"220370 Esperantina";2378;1156067,05;4133;44
"220390 Floriano";6821;6296943,37;29223;330
"220400 Francinópolis";12;6382,77;56;-
"220430 Fronteiras";1715;1072074,00;5768;-
"220450 Guadalupe";124;46992,39;405;3
"220470 Inhuma";16;4409,76;76;-
"220480 Ipiranga do Piauí";72;25401,21;244;-
"220510 Itaueira";245;105122,63;749;1
"220520 Jaicós";420;148798,68;824;-
"220540 Joaquim Pires";42;16120,97;172;-
"220550 José de Freitas";612;254324,07;2452;1
"220570 Luís Correia";157;38751,06;504;3
"220580 Luzilândia";933;526091,74;2295;-
"220590 Manoel Emídio";32;16632,34;35;-
"220620 Miguel Alves";698;287012,84;1980;-
"220650 Monsenhor Hipólito";176;50282,69;391;-
"220700 Oeiras";3016;2228210,30;9889;85
"220760 Parnaguá";963;464824,07;2914;-
"220770 Parnaíba";10173;9040715,00;58867;414
"220780 Paulistana";797;374600,11;1861;4
"220790 Pedro II";1438;478131,81;5807;31
"220800 Picos";3641;1820399,55;12514;109
"220810 Pimenteiras";49;19538,15;199;1
"220820 Pio IX";23;8525,19;83;-
"220830 Piracuruca";417;224152,03;1217;1
"220840 Piripiri";1616;1059074,75;5392;63
"220850 Porto";181;68715,93;368;-
"220880 Regeneração";794;289125,36;1404;22
"220890 Ribeiro Gonçalves";118;37804,05;228;-
"220960 São Félix do Piauí";19;7314,56;37;-
"220990 São João da Serra";58;17592,98;158;-
"221000 São João do Piauí";801;366912,30;2377;25
"221040 São Miguel do Tapuio";208;87594,55;715;2
"221050 São Pedro do Piauí";108;45076,75;325;3
"221060 São Raimundo Nonato";7962;4559818,64;21929;57
"221070 Simões";1233;645068,67;3702;-
"221080 Simplício Mendes";70;31998,30;166;-
"221100 Teresina";53117;80263202,09;326540;2327
"221110 União";460;170299,77;1600;15
"221120 Uruçuí";741;312542,70;2170;19
"221130 Valença do Piauí";1645;835851,33;4202;45
"221170 Wall Ferraz";270;163925,37;844;-
"230020 Acaraú";1763;768553,71;4199;15
"230030 Acopiara";1106;644259,36;2093;4
"230040 Aiuaba";101;41779,57;341;1
"230060 Altaneira";53;22528,34;251;-
"230070 Alto Santo";66;25115,48;432;2
"230075 Amontada";118;51346,40;372;1
"230090 Apuiarés";87;38612,89;258;6
"230100 Aquiraz";608;253986,25;2423;32
"230110 Aracati";2501;1374487,79;7676;70
"230120 Aracoiaba";349;186487,37;1631;24
"230125 Ararendá";35;9303,26;91;-
"230130 Araripe";223;102407,62;955;10
"230140 Aratuba";82;22616,49;255;4
"230160 Assaré";193;67357,07;982;16
"230170 Aurora";1248;617985,82;3325;6
"230185 Banabuiú";118;46306,89;483;6
"230190 Barbalha";7452;15061804,57;42305;548
"230195 Barreira";52;18074,38;277;2
"230200 Barro";66;28213,42;337;6
"230210 Baturité";1150;601506,64;1757;-
"230220 Beberibe";171;101441,92;812;22
"230230 Bela Cruz";315;142022,43;977;8
"230240 Boa Viagem";828;377535,30;2135;29
"230250 Brejo Santo";4624;2947155,49;12088;121
"230260 Camocim";2476;1133927,90;6297;14
"230270 Campos Sales";389;165336,30;1496;23
"230280 Canindé";3263;1903288,98;10592;109
"230290 Capistrano";14;8029,06;48;-
"230300 Caridade";28;9728,15;80;-
"230310 Cariré";223;94096,49;986;10
"230320 Caririaçu";259;112942,21;1198;11
"230330 Cariús";177;75471,74;837;14
"230340 Carnaubal";228;91513,45;571;9
"230350 Cascavel";1199;609067,69;3103;19
"230360 Catarina";166;60733,59;664;7
"230365 Catunda";58;23645,17;229;2
"230370 Caucaia";5556;2633925,49;27565;174
"230380 Cedro";1010;509311,80;2177;29
"230390 Chaval";73;28824,59;157;2
"230393 Choró";68;27821,04;270;3
"230395 Chorozinho";91;29842,09;328;5
"230400 Coreaú";135;43668,98;453;2
"230410 Crateús";5285;2311848,58;18468;221
"230420 Crato";8472;6638598,89;26414;150
"230423 Croatá";194;70866,83;662;7
"230425 Cruz";425;172749,46;1438;12
"230426 Deputado Irapuan Pinheiro";100;35826,36;569;8
"230427 Ererê";3;1183,81;4;1
"230428 Eusébio";2535;1398629,10;4940;-
"230430 Farias Brito";134;58673,51;608;6
"230440 Fortaleza";128738;226416464,50;1010116;6266
"230445 Fortim";57;20425,99;274;-
"230450 Frecheirinha";146;59578,35;690;10
