 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jul-Dez/2020
"Município";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"110001 Alta Floresta D'Oeste";13;27;28;4;4;17;93
"110037 Alto Alegre dos Parecis";3;5;4;-;-;-;12
"110040 Alto Paraíso";7;10;2;1;-;1;21
"110002 Ariquemes";54;77;-;-;-;-;131
"110045 Buritis";9;19;17;13;5;1;64
"110003 Cabixi";2;1;-;-;-;3;6
"110004 Cacoal";19;22;34;26;14;9;124
"110070 Campo Novo de Rondônia";-;1;-;-;-;-;1
"110005 Cerejeiras";-;2;3;2;2;1;10
"110006 Colorado do Oeste";5;7;6;5;4;3;30
"110094 Cujubim";5;5;-;2;2;-;14
"110009 Espigão D'Oeste";2;2;-;4;2;2;12
"110010 Guajará-Mirim";60;28;9;10;13;-;120
"110011 Jaru";62;42;28;21;20;-;173
"110012 Ji-Paraná";46;80;47;28;38;2;241
"110013 Machadinho D'Oeste";3;7;10;3;-;-;23
"110130 Mirante da Serra";1;2;2;-;-;-;5
"110140 Monte Negro";3;4;9;2;2;-;20
"110014 Nova Brasilândia D'Oeste";3;9;9;-;-;-;21
"110033 Nova Mamoré";19;14;7;4;6;-;50
"110143 Nova União";1;2;-;-;-;-;3
"110018 Pimenta Bueno";8;10;13;-;6;-;37
"110146 Pimenteiras do Oeste";7;2;3;-;-;-;12
"110020 Porto Velho";521;521;296;127;102;136;1703
"110025 Presidente Médici";2;2;2;3;6;-;15
"110028 Rolim de Moura";19;6;20;5;4;8;62
"110029 Santa Luzia D'Oeste";2;3;2;-;-;-;7
"110149 São Francisco do Guaporé";5;5;10;11;11;3;45
"110032 São Miguel do Guaporé";6;4;11;4;-;-;25
"110170 Urupá";-;-;-;3;2;-;5
"110180 Vale do Paraíso";2;-;-;-;1;10;13
"110030 Vilhena";43;93;81;50;30;19;316
"120001 Acrelândia";-;3;7;-;-;-;10
"120010 Brasiléia";35;27;9;7;3;17;98
"120020 Cruzeiro do Sul";135;108;72;79;49;42;485
"120030 Feijó";-;-;-;-;2;1;3
"120034 Manoel Urbano";-;-;1;-;-;-;1
"120038 Plácido de Castro";1;-;-;-;-;-;1
"120040 Rio Branco";107;96;66;93;87;125;574
"120050 Sena Madureira";14;16;14;9;4;28;85
"120045 Senador Guiomard";3;1;-;-;-;-;4
"120060 Tarauacá";-;-;4;4;4;11;23
"120070 Xapuri";1;11;2;8;4;3;29
"130002 Alvarães";12;9;4;10;-;-;35
"130006 Amaturá";3;-;-;-;-;-;3
"130014 Apuí";4;1;-;-;-;-;5
"130020 Atalaia do Norte";1;3;-;5;6;-;15
"130030 Autazes";4;1;3;6;6;4;24
"130040 Barcelos";22;-;-;-;-;-;22
"130060 Benjamin Constant";12;4;6;6;5;-;33
"130068 Boa Vista do Ramos";14;2;22;5;32;18;93
"130070 Boca do Acre";18;7;11;11;14;-;61
"130080 Borba";7;-;5;1;3;32;48
"130100 Carauari";4;11;12;7;19;13;66
"130110 Careiro";5;4;3;3;1;3;19
"130120 Coari";13;15;19;36;27;18;128
"130130 Codajás";-;27;4;18;17;-;66
"130140 Eirunepé";-;24;-;-;-;-;24
"130150 Envira";-;-;3;12;3;-;18
"130160 Fonte Boa";7;9;5;10;13;-;44
"130165 Guajará";34;17;2;5;1;-;59
"130170 Humaitá";89;42;29;10;8;9;187
"130180 Ipixuna";-;-;34;46;41;-;121
"130185 Iranduba";1;1;-;6;20;-;28
"130190 Itacoatiara";67;13;47;50;-;-;177
"130200 Itapiranga";-;-;-;5;20;-;25
"130210 Japurá";-;1;1;-;-;-;2
"130220 Juruá";-;-;6;-;-;-;6
"130230 Jutaí";-;3;4;3;-;-;10
"130250 Manacapuru";27;27;21;34;14;-;123
"130260 Manaus";1128;563;738;687;875;-;3991
"130270 Manicoré";11;59;38;15;6;-;129
"130290 Maués";14;14;13;27;53;-;121
"130300 Nhamundá";1;26;16;8;5;-;56
"130320 Novo Airão";4;6;3;1;5;9;28
"130340 Parintins";162;136;142;175;175;83;873
"130350 Pauini";-;-;-;11;-;-;11
"130353 Presidente Figueiredo";17;2;4;-;-;-;23
"130356 Rio Preto da Eva";9;26;7;7;9;9;67
"130370 Santo Antônio do Içá";18;22;4;-;17;-;61
"130390 São Paulo de Olivença";15;4;7;6;-;-;32
"130395 São Sebastião do Uatumã";14;9;5;1;2;-;31
"130406 Tabatinga";22;30;5;3;4;-;64
"130410 Tapauá";-;-;13;-;14;-;27
"130420 Tefé";77;18;11;18;20;-;144
"130423 Tonantins";11;4;-;8;-;3;26
"130426 Uarini";18;4;5;8;9;-;44
"130430 Urucará";25;29;15;-;11;-;80
"140005 Alto Alegre";4;1;-;-;-;-;5
"140010 Boa Vista";239;125;101;89;123;178;855
"140020 Caracaraí";-;-;-;-;-;1;1
"140023 Caroebe";3;1;-;-;-;-;4
"140030 Mucajaí";6;1;-;-;-;-;7
"140040 Normandia";-;2;1;-;-;-;3
"140045 Pacaraima";5;-;2;-;-;-;7
"140047 Rorainópolis";24;14;10;-;-;2;50
"140050 São João da Baliza";2;1;-;-;-;-;3
"140060 São Luiz";-;13;-;-;-;-;13
"150010 Abaetetuba";30;19;23;35;26;22;155
"150013 Abel Figueiredo";-;1;-;-;-;-;1
"150020 Acará";-;2;2;-;-;-;4
"150034 Água Azul do Norte";10;7;4;6;8;3;38
"150040 Alenquer";28;24;-;3;5;7;67
"150050 Almeirim";17;1;4;6;-;-;28
"150060 Altamira";64;190;147;13;-;7;421
"150080 Ananindeua";90;79;14;11;19;10;223
"150085 Anapu";5;-;7;-;-;-;12
"150090 Augusto Corrêa";45;32;-;5;-;2;84
"150095 Aurora do Pará";8;9;6;2;1;-;26
"150120 Baião";-;20;6;1;1;-;28
"150130 Barcarena";-;12;6;33;11;9;71
"150140 Belém";708;1057;232;175;216;179;2567
"150157 Bom Jesus do Tocantins";20;10;3;13;9;-;55
"150170 Bragança";90;20;18;-;5;27;160
"150172 Brasil Novo";22;11;13;7;2;-;55
"150178 Breu Branco";-;12;6;10;1;-;29
"150180 Breves";168;122;48;2;4;2;346
"150190 Bujaru";18;-;-;-;-;-;18
"150215 Canaã dos Carajás";23;28;29;2;4;-;86
"150220 Capanema";15;2;-;-;-;-;17
"150230 Capitão Poço";16;8;10;3;14;-;51
"150240 Castanhal";163;125;112;51;57;52;560
"150270 Conceição do Araguaia";21;27;23;-;-;-;71
"150276 Cumaru do Norte";1;3;3;-;-;-;7
"150277 Curionópolis";7;15;7;7;4;-;40
"150280 Curralinho";25;9;15;13;-;-;62
"150293 Dom Eliseu";17;8;8;1;-;-;34
"150295 Eldorado do Carajás";7;-;1;1;-;-;9
"150307 Garrafão do Norte";12;6;-;2;-;-;20
"150320 Igarapé-Açu";54;25;2;4;1;3;89
"150330 Igarapé-Miri";3;13;7;2;-;-;25
"150340 Inhangapi";2;-;-;-;-;-;2
"150345 Ipixuna do Pará";38;30;21;35;22;-;146
"150360 Itaituba";78;78;29;32;2;79;298
"150370 Itupiranga";37;2;17;28;8;-;92
"150380 Jacundá";31;100;-;13;8;-;152
"150390 Juruti";22;8;4;5;6;1;46
"150400 Limoeiro do Ajuru";-;-;52;6;21;-;79
"150405 Mãe do Rio";14;7;3;8;3;-;35
"150420 Marabá";75;456;130;118;62;23;864
"150430 Maracanã";-;6;1;-;-;-;7
"150442 Marituba";1;6;1;1;-;1;10
"150460 Mocajuba";10;18;6;3;7;-;44
"150470 Moju";5;9;3;-;-;-;17
"150480 Monte Alegre";43;22;7;5;6;-;83
"150490 Muaná";4;-;-;-;-;-;4
"150495 Nova Esperança do Piriá";22;4;2;9;2;1;40
"150497 Nova Ipixuna";3;2;3;-;-;-;8
"150503 Novo Progresso";30;15;2;4;1;-;52
"150520 Oeiras do Pará";37;39;14;27;10;-;127
"150530 Oriximiná";31;30;24;4;-;-;89
"150540 Ourém";11;11;6;2;3;-;33
"150543 Ourilândia do Norte";6;29;20;6;11;4;76
"150548 Pacajá";35;15;8;3;-;-;61
"150549 Palestina do Pará";2;1;5;-;1;-;9
"150550 Paragominas";54;81;56;51;30;26;298
"150553 Parauapebas";90;60;58;30;34;16;288
"150555 Pau D'Arco";10;8;2;-;-;-;20
"150570 Ponta de Pedras";-;-;-;-;-;5;5
"150580 Portel";23;3;2;-;-;-;28
"150600 Prainha";26;12;-;13;1;10;62
"150613 Redenção";129;81;60;24;17;26;337
"150616 Rio Maria";31;35;15;1;1;-;83
"150618 Rondon do Pará";13;19;10;9;2;2;55
"150619 Rurópolis";-;-;3;12;13;-;28
"150620 Salinópolis";58;30;13;3;-;2;106
"150650 Santa Izabel do Pará";7;6;1;3;-;-;17
"150658 Santa Maria das Barreiras";3;2;2;-;-;-;7
"150660 Santa Maria do Pará";37;16;5;-;3;-;61
"150670 Santana do Araguaia";21;18;25;13;3;13;93
"150680 Santarém";296;183;378;74;35;40;1006
"150700 Santo Antônio do Tauá";3;28;-;3;-;-;34
"150715 São Domingos do Araguaia";6;-;2;11;3;3;25
"150720 São Domingos do Capim";-;13;1;-;-;-;14
"150730 São Félix do Xingu";33;12;38;-;6;41;130
"150745 São Geraldo do Araguaia";-;-;-;1;3;-;4
"150747 São João de Pirabas";19;6;5;4;3;5;42
"150750 São João do Araguaia";7;-;-;-;-;-;7
"150760 São Miguel do Guamá";24;26;11;16;4;-;81
"150770 São Sebastião da Boa Vista";-;27;-;-;-;-;27
"150780 Senador José Porfírio";7;-;2;-;1;-;10
"150797 Terra Santa";12;30;30;12;13;-;97
"150803 Tracuateua";-;3;-;2;1;-;6
"150805 Trairão";6;6;4;3;1;2;22
"150808 Tucumã";36;59;55;72;12;31;265
"150810 Tucuruí";1;111;7;2;-;-;121
"150812 Ulianópolis";9;4;-;-;-;-;13
"150815 Uruará";26;5;16;12;11;-;70
"150820 Vigia";15;14;8;2;1;1;41
"150830 Viseu";5;17;4;4;3;6;39
"150835 Vitória do Xingu";21;13;13;9;1;-;57
"150840 Xinguara";59;33;15;7;4;6;124
"160010 Amapá";-;2;3;2;-;1;8
"160020 Calçoene";-;3;2;1;-;-;6
"160027 Laranjal do Jari";111;25;12;20;29;24;221
"160030 Macapá";272;218;111;111;143;355;1210
"160050 Oiapoque";21;7;30;20;16;29;123
"160015 Pedra Branca do Amapari";2;-;2;-;-;-;4
"160060 Santana";111;86;16;1;-;-;214
"170070 Alvorada";3;-;-;-;-;-;3
"170200 Araguaçu";2;-;-;-;-;-;2
"170210 Araguaína";203;106;80;37;23;45;494
"170230 Arapoema";2;-;-;-;-;-;2
"170255 Augustinópolis";6;-;-;-;-;-;6
"170550 Colinas do Tocantins";27;61;31;16;36;31;202
"170700 Dianópolis";1;-;-;-;-;-;1
"170820 Formoso do Araguaia";6;2;12;-;-;-;20
"170900 Goiatins";3;11;5;-;1;-;20
"170930 Guaraí";5;-;-;-;-;-;5
"170950 Gurupi";14;-;-;-;-;-;14
"171320 Miracema do Tocantins";33;-;-;-;-;-;33
"172100 Palmas";93;-;-;-;-;-;93
"171610 Paraíso do Tocantins";19;-;-;-;-;-;19
"171620 Paranã";2;-;-;-;-;-;2
"171660 Peixe";1;3;-;4;-;-;8
"171750 Pium";-;7;1;-;-;-;8
"171790 Ponte Alta do Tocantins";-;-;-;-;-;2;2
"171820 Porto Nacional";4;-;-;-;-;-;4
"172090 Taguatinga";-;-;-;-;-;1;1
"172120 Tocantinópolis";20;31;6;8;8;5;78
"172210 Xambioá";25;-;-;-;-;-;25
"210005 Açailândia";164;93;67;48;8;26;406
"210043 Alto Alegre do Maranhão";-;-;1;-;-;-;1
"210047 Alto Alegre do Pindaré";15;9;6;2;-;-;32
"210060 Amarante do Maranhão";23;29;19;1;-;-;72
"210080 Anapurus";28;-;5;-;2;1;36
"210090 Araioses";10;4;-;-;-;-;14
"210095 Arame";14;30;1;5;1;4;55
"210120 Bacabal";155;133;58;45;31;17;439
"210140 Balsas";42;88;55;84;46;64;379
"210160 Barra do Corda";2;2;-;27;-;22;53
"210170 Barreirinhas";24;15;3;12;8;1;63
"210177 Bela Vista do Maranhão";11;3;-;1;2;2;19
"210193 Bernardo do Mearim";10;-;-;-;-;-;10
"210200 Bom Jardim";36;5;-;-;-;-;41
"210203 Bom Jesus das Selvas";32;8;7;15;8;4;74
"210210 Brejo";33;18;9;1;2;2;65
"210230 Buriti Bravo";23;24;56;17;8;5;133
"210232 Buriticupu";-;36;-;1;-;-;37
"210240 Cajapió";-;1;-;-;-;-;1
"210280 Carolina";25;19;14;4;1;11;74
"210290 Carutapera";6;11;14;7;5;2;45
"210300 Caxias";130;253;133;40;120;83;759
"210320 Chapadinha";67;37;8;5;5;4;126
"210325 Cidelândia";2;-;1;-;-;2;5
"210330 Codó";56;16;28;10;1;4;115
"210350 Colinas";45;63;18;5;8;9;148
"210360 Coroatá";59;36;30;23;28;16;192
"210370 Cururupu";35;7;4;3;-;4;53
"210380 Dom Pedro";16;21;8;12;5;-;62
"210400 Esperantinópolis";16;10;3;1;3;-;33
"210405 Estreito";19;1;12;-;1;-;33
"210407 Feira Nova do Maranhão";16;26;21;6;-;7;76
"210408 Fernando Falcão";3;5;-;-;2;2;12
"210409 Formosa da Serra Negra";16;-;3;13;18;-;50
"210420 Fortuna";12;18;10;15;-;-;55
"210440 Gonçalves Dias";15;3;9;8;1;1;37
"210450 Governador Archer";-;1;2;-;-;-;3
"210460 Governador Eugênio Barros";17;4;2;1;8;-;32
"210462 Governador Luiz Rocha";3;-;-;-;-;-;3
"210465 Governador Newton Bello";14;8;6;1;1;1;31
"210467 Governador Nunes Freire";21;23;6;3;3;6;62
"210480 Grajaú";79;53;33;38;18;18;239
"210510 Icatu";1;1;-;-;-;-;2
"210520 Igarapé Grande";43;34;30;3;-;-;110
"210530 Imperatriz";185;186;193;301;273;146;1284
"210535 Itaipava do Grajaú";21;12;3;-;-;-;36
"210540 Itapecuru Mirim";13;3;2;-;2;-;20
"210542 Itinga do Maranhão";5;5;1;2;-;-;13
"210547 Jenipapo dos Vieiras";33;12;3;2;1;1;52
"210550 João Lisboa";7;4;-;1;-;-;12
"210570 Lago da Pedra";110;51;60;27;11;19;278
"210610 Loreto";6;19;6;2;5;-;38
"210630 Magalhães de Almeida";-;-;-;2;9;-;11
"210640 Mata Roma";8;2;-;-;-;-;10
"210660 Matões";5;6;-;-;-;-;11
"210667 Milagres do Maranhão";-;-;-;-;5;-;5
"210675 Miranda do Norte";18;17;-;-;-;-;35
"210710 Morros";11;4;2;-;2;3;22
"210720 Nina Rodrigues";8;7;-;-;-;-;15
"210725 Nova Colinas";-;-;-;-;2;5;7
"210740 Olho d'Água das Cunhãs";2;-;6;-;-;-;8
"210745 Olinda Nova do Maranhão";18;18;6;9;-;10;61
"210790 Passagem Franca";1;17;16;11;11;9;65
"210800 Pastos Bons";-;-;17;-;2;25;44
"210810 Paulo Ramos";6;7;5;-;-;-;18
"210820 Pedreiras";77;79;70;71;31;51;379
"210845 Peritoró";22;9;-;-;-;-;31
"210860 Pinheiro";65;55;31;38;13;14;216
"210880 Pirapemas";11;3;-;1;3;-;18
"210900 Porto Franco";38;27;51;8;13;2;139
"210910 Presidente Dutra";88;52;68;56;42;33;339
"210960 Rosário";-;2;1;2;2;-;7
"210970 Sambaíba";7;18;4;4;3;-;36
"210980 Santa Helena";21;5;-;2;6;12;46
"210990 Santa Inês";116;53;24;15;16;8;232
"211000 Santa Luzia";20;11;3;1;1;3;39
"211003 Santa Luzia do Paruá";34;31;17;13;10;10;115
"211020 Santa Rita";5;-;-;-;-;-;5
"211023 Santana do Maranhão";1;-;-;-;-;-;1
"211027 Santo Amaro do Maranhão";-;4;-;-;-;-;4
"211060 São Bernardo";32;7;6;3;1;-;49
"211065 São Domingos do Azeitão";-;4;-;-;-;-;4
"211070 São Domingos do Maranhão";71;12;28;1;6;9;127
"211085 São Francisco do Brejão";20;9;16;4;2;-;51
"211090 São Francisco do Maranhão";-;-;5;1;-;-;6
"211102 São João do Carú";10;1;-;-;-;-;11
"211107 São João do Soter";17;5;8;13;1;4;48
"211120 São José de Ribamar";3;-;-;-;-;-;3
"211130 São Luís";613;364;166;436;243;95;1917
"211140 São Luís Gonzaga do Maranhão";16;33;3;1;1;-;54
"211150 São Mateus do Maranhão";11;10;2;-;-;1;24
"211153 São Pedro da Água Branca";-;-;2;-;-;-;2
"211157 São Pedro dos Crentes";15;12;4;1;1;7;40
"211160 São Raimundo das Mangabeiras";37;36;9;29;18;-;129
"211170 São Vicente Ferrer";-;6;-;-;-;-;6
"211180 Sítio Novo";10;15;8;2;10;19;64
"211195 Sucupira do Riachão";5;10;4;-;1;-;20
"211200 Tasso Fragoso";-;-;-;-;4;-;4
"211210 Timbiras";98;55;22;5;10;3;193
"211220 Timon";142;106;42;103;34;48;475
"211223 Trizidela do Vale";15;7;2;-;-;-;24
"211230 Tuntum";15;4;1;6;-;-;26
"211250 Tutóia";18;11;-;-;-;1;30
"211260 Urbano Santos";6;10;14;1;4;2;37
"211270 Vargem Grande";6;1;4;-;1;1;13
"211280 Viana";4;1;4;7;9;9;34
"211285 Vila Nova dos Martírios";9;11;1;-;-;-;21
"211300 Vitorino Freire";-;48;44;18;31;-;141
"211400 Zé Doca";46;65;61;-;-;-;172
"220020 Água Branca";29;38;40;8;7;7;129
"220030 Alto Longá";-;3;-;-;-;-;3
"220040 Altos";17;11;11;12;8;6;65
"220050 Amarante";-;11;7;5;14;17;54
"220100 Arraial";-;-;-;1;-;-;1
"220120 Barras";26;27;28;-;14;-;95
"220150 Batalha";5;9;7;1;3;2;27
"220160 Beneditinos";1;-;-;-;-;-;1
"220190 Bom Jesus";35;37;39;26;58;56;251
"220220 Campo Maior";-;-;28;18;26;24;96
"220230 Canto do Buriti";8;7;9;27;29;20;100
"220260 Castelo do Piauí";-;-;-;3;-;1;4
"220290 Corrente";-;-;10;5;11;15;41
"220320 Curimatá";1;1;1;-;5;12;20
"220330 Demerval Lobão";17;16;12;7;5;4;61
"220370 Esperantina";42;41;29;22;6;1;141
"220390 Floriano";34;113;111;151;156;-;565
"220550 José de Freitas";2;2;-;1;2;2;9
"220580 Luzilândia";19;80;13;3;1;14;130
"220620 Miguel Alves";2;7;10;9;-;-;28
"220700 Oeiras";66;58;23;50;42;44;283
"220760 Parnaguá";5;3;-;-;32;32;72
"220770 Parnaíba";168;245;149;33;28;35;658
"220780 Paulistana";-;1;2;-;-;-;3
"220790 Pedro II";10;7;8;22;8;5;60
"220800 Picos";38;61;55;50;-;-;204
"220840 Piripiri";70;71;33;-;-;-;174
"220850 Porto";12;-;-;-;-;-;12
"220990 São João da Serra";-;1;-;-;-;-;1
"221040 São Miguel do Tapuio";-;-;-;-;-;1;1
"221050 São Pedro do Piauí";2;2;5;2;1;2;14
"221060 São Raimundo Nonato";24;18;13;20;39;39;153
"221100 Teresina";1115;1386;804;700;404;541;4950
"221110 União";10;7;1;-;1;3;22
"221120 Uruçuí";36;48;49;22;12;-;167
"221130 Valença do Piauí";6;2;9;22;22;20;81
"230020 Acaraú";26;1;16;17;10;2;72
"230030 Acopiara";17;19;10;19;7;7;79
"230040 Aiuaba";-;3;4;-;-;-;7
"230070 Alto Santo";3;1;3;5;1;-;13
"230075 Amontada";4;-;-;1;-;-;5
"230090 Apuiarés";1;3;-;-;-;-;4
"230100 Aquiraz";5;-;7;4;13;-;29
"230110 Aracati";25;7;4;1;5;6;48
"230120 Aracoiaba";3;-;-;-;-;-;3
"230125 Ararendá";-;-;-;5;-;-;5
"230160 Assaré";1;5;5;2;10;13;36
"230170 Aurora";1;-;-;4;9;8;22
"230185 Banabuiú";-;1;-;-;2;-;3
"230190 Barbalha";36;78;42;30;39;-;225
"230195 Barreira";1;-;-;-;-;-;1
"230200 Barro";11;-;4;4;3;2;24
"230210 Baturité";9;3;-;-;-;-;12
"230220 Beberibe";8;4;5;8;5;-;30
"230230 Bela Cruz";7;3;3;1;1;-;15
"230240 Boa Viagem";11;28;17;29;19;3;107
"230250 Brejo Santo";81;144;66;80;73;132;576
"230260 Camocim";23;3;5;1;1;-;33
"230270 Campos Sales";22;21;9;6;8;-;66
"230280 Canindé";84;46;14;27;10;24;205
"230300 Caridade";8;-;3;1;-;-;12
"230310 Cariré";18;3;1;-;1;-;23
"230320 Caririaçu";-;8;4;3;2;3;20
"230330 Cariús";1;8;4;2;3;3;21
"230340 Carnaubal";7;9;4;-;1;3;24
"230360 Catarina";3;-;5;9;6;5;28
"230365 Catunda";5;-;-;1;-;-;6
"230370 Caucaia";59;38;15;1;-;10;123
"230380 Cedro";17;5;6;28;9;12;77
"230390 Chaval";4;-;2;-;1;-;7
"230395 Chorozinho";6;6;4;-;3;10;29
"230400 Coreaú";2;3;-;1;3;-;9
"230410 Crateús";120;124;154;101;38;46;583
"230420 Crato";43;27;113;43;20;29;275
"230423 Croatá";-;-;-;-;1;1;2
"230425 Cruz";3;2;-;-;2;1;8
"230426 Deputado Irapuan Pinheiro";2;13;15;3;1;7;41
"230428 Eusébio";17;23;-;-;-;-;40
"230430 Farias Brito";1;2;8;1;1;-;13
"230440 Fortaleza";1465;1389;656;503;337;359;4709
"230450 Frecheirinha";11;7;-;-;-;-;18
"230480 Granjeiro";-;-;2;3;1;-;6
"230490 Groaíras";11;4;-;-;-;-;15
"230500 Guaraciaba do Norte";-;8;3;9;1;3;24
"230523 Horizonte";13;1;-;-;-;-;14
"230530 Ibiapina";9;11;7;6;-;2;35
"230540 Icó";14;26;20;22;13;14;109
"230550 Iguatu";41;56;27;36;19;13;192
"230560 Independência";1;-;-;-;-;-;1
"230580 Ipu";-;3;-;27;5;4;39
"230600 Iracema";-;6;8;15;12;8;49
"230610 Irauçuba";4;2;5;-;-;-;11
"230625 Itaitinga";2;-;1;1;1;-;5
"230630 Itapagé";31;7;4;1;1;-;44
"230640 Itapipoca";62;47;19;6;15;26;175
"230650 Itapiúna";2;1;-;-;-;1;4
"230655 Itarema";18;3;5;1;2;-;29
"230670 Jaguaretama";-;14;18;5;1;2;40
"230680 Jaguaribara";6;1;-;-;-;-;7
"230690 Jaguaribe";23;16;6;10;5;3;63
"230700 Jaguaruana";10;5;6;2;4;-;27
"230710 Jardim";3;4;3;3;3;5;21
"230730 Juazeiro do Norte";95;301;163;137;190;53;939
"230740 Jucás";11;8;11;5;2;1;38
"230750 Lavras da Mangabeira";15;23;23;27;23;27;138
"230760 Limoeiro do Norte";114;55;51;73;63;66;422
"230763 Madalena";13;-;-;-;-;-;13
"230765 Maracanaú";135;52;40;21;25;38;311
