 Procedimentos hospitalares do SUS - por local de internação - Brasil
InternaçõesValor totalDias permanênciaÓbitos por Município
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Abr-Dez/2020
"Município";"Internações";"Valor_total";"Dias_permanência";"Óbitos"
"320506 Venda Nova do Imigrante";5;8063,72;9;-
"320520 Vila Velha";1480;6122456,63;13779;286
"320530 Vitória";1066;4170309,54;9446;190
"330010 Angra dos Reis";572;904614,52;4075;24
"330015 Aperibé";32;48000,00;126;3
"330020 Araruama";107;311772,29;1040;33
"330022 Areal";46;69000,00;219;1
"330023 Armação dos Búzios";113;172987,98;581;19
"330025 Arraial do Cabo";30;45528,92;134;9
"330030 Barra do Piraí";131;207589,56;619;26
"330040 Barra Mansa";572;945344,99;4179;108
"330045 Belford Roxo";1645;2646645,12;11525;199
"330050 Bom Jardim";67;107813,59;331;5
"330060 Bom Jesus do Itabapoana";614;4233186,55;4079;124
"330070 Cabo Frio";338;700389,17;2636;101
"330080 Cachoeiras de Macacu";86;129535,40;453;17
"330090 Cambuci";14;46118,12;52;4
"330100 Campos dos Goytacazes";1448;7274782,00;15537;415
"330110 Cantagalo";30;47448,00;71;-
"330120 Carmo";54;82550,82;251;-
"330130 Casimiro de Abreu";202;313958,85;1001;21
"330140 Conceição de Macabu";39;58500,00;487;15
"330150 Cordeiro";48;78905,42;146;3
"330160 Duas Barras";12;19450,86;35;-
"330170 Duque de Caxias";4550;15192698,84;23344;1198
"330180 Engenheiro Paulo de Frontin";17;25892,00;63;5
"330185 Guapimirim";182;310966,42;1109;31
"330190 Itaboraí";432;1666331,97;3787;189
"330200 Itaguaí";207;314607,04;1227;32
"330210 Itaocara";88;154290,94;427;6
"330220 Itaperuna";119;1129496,68;1062;52
"330225 Itatiaia";27;40520,05;81;4
"330240 Macaé";485;2414688,00;6149;110
"330250 Magé";648;2797213,58;3459;149
"330260 Mangaratiba";43;64539,94;134;4
"330270 Maricá";1075;3539238,82;7382;223
"330280 Mendes";4;6000,00;11;-
"330290 Miguel Pereira";57;88411,31;379;10
"330300 Miracema";38;237800,00;321;13
"330310 Natividade";31;46597,97;119;-
"330320 Nilópolis";5;19509,88;57;4
"330330 Niterói";2274;7679768,64;22801;645
"330340 Nova Friburgo";304;1171519,14;2802;84
"330350 Nova Iguaçu";583;2275657,07;4011;244
"330360 Paracambi";184;281357,56;670;20
"330370 Paraíba do Sul";53;80796,37;157;6
"330380 Paraty";130;230039,00;1467;23
"330390 Petrópolis";894;6649599,91;8275;184
"330395 Pinheiral";58;87000,00;171;2
"330400 Piraí";199;302656,21;608;18
"330411 Porto Real";79;137847,57;401;4
"330412 Quatis";20;30328,00;76;-
"330415 Quissamã";80;378209,79;725;28
"330420 Resende";263;715391,29;2209;92
"330430 Rio Bonito";386;1600326,43;2953;75
"330440 Rio Claro";72;108660,00;241;1
"330450 Rio das Flores";26;41552,82;234;2
"330452 Rio das Ostras";493;755882,72;2932;76
"330455 Rio de Janeiro";11645;39713344,58;117522;4062
"330460 Santa Maria Madalena";22;33080,00;126;1
"330470 Santo Antônio de Pádua";78;134725,24;660;14
"330480 São Fidélis";134;479966,43;1117;48
"330475 São Francisco de Itabapoana";43;69924,05;365;10
"330490 São Gonçalo";2320;5602815,35;15328;672
"330500 São João da Barra";95;168943,43;622;15
"330510 São João de Meriti";117;1292664,06;958;42
"330515 São José do Vale do Rio Preto";108;162000,00;542;7
"330550 Saquarema";167;953762,85;2087;57
"330560 Silva Jardim";66;99000,00;319;4
"330570 Sumidouro";47;70500,00;200;3
"330580 Teresópolis";844;5692790,20;8321;170
"330590 Trajano de Moraes";5;7500,00;16;1
"330600 Três Rios";120;1095309,14;1059;54
"330610 Valença";109;352005,48;1164;30
"330620 Vassouras";163;1797462,52;1468;40
"330630 Volta Redonda";2476;12876554,68;24359;954
"350010 Adamantina";103;186078,77;680;21
"350050 Águas de Lindóia";24;36152,00;98;-
"350100 Altinópolis";16;24018,68;57;2
"350130 Álvares Machado";28;42000,00;157;1
"350160 Americana";313;1420749,62;2634;111
"350170 Américo Brasiliense";170;691412,59;1835;37
"350190 Amparo";166;1380957,10;1220;23
"350210 Andradina";120;386838,29;861;31
"350220 Angatuba";50;75656,20;217;2
"350250 Aparecida";166;293310,37;1385;21
"350270 Apiaí";153;235205,28;530;13
"350280 Araçatuba";368;1894648,02;3417;120
"350320 Araraquara";743;2776778,87;4068;66
"350330 Araras";248;1422442,36;2404;46
"350390 Arujá";37;69154,35;135;-
"350400 Assis";174;678836,01;1237;34
"350410 Atibaia";7;10725,38;41;-
"350420 Auriflama";111;170516,50;486;6
"350450 Avaré";165;489141,17;1704;43
"350520 Bariri";101;154285,97;505;14
"350530 Barra Bonita";149;234447,70;834;12
"350550 Barretos";595;5796287,12;3737;188
"350570 Barueri";1704;3520277,81;14944;402
"350580 Bastos";24;36328,00;86;-
"350590 Batatais";247;1120561,93;1874;74
"350600 Bauru";1432;8916700,24;13240;272
"350610 Bebedouro";68;106812,61;302;4
"350630 Bernardino de Campos";76;116563,62;717;2
"350635 Bertioga";101;459137,00;880;16
"350640 Bilac";3;4500,00;9;-
"350650 Birigui";239;992350,82;1848;52
"350680 Bocaina";20;30168,00;96;-
"350700 Boituva";33;54318,21;205;2
"350740 Borborema";69;107614,58;443;5
"350750 Botucatu";288;2172357,33;2670;80
"350760 Bragança Paulista";592;2750862,52;4035;109
"350790 Brotas";6;9144,12;34;-
"350810 Buritama";54;81875,22;333;2
"350840 Cabreúva";3;4556,00;6;-
"350850 Caçapava";71;197391,97;411;18
"350860 Cachoeira Paulista";56;84000,00;283;4
"350870 Caconde";24;36393,08;148;-
"350880 Cafelândia";69;104458,19;235;5
"350900 Caieiras";214;320999,92;1571;5
"350920 Cajamar";32;51410,25;260;11
"350930 Cajobi";16;24056,00;74;1
"350940 Cajuru";157;249767,48;1086;19
"350950 Campinas";3870;25940247,62;37750;865
"350960 Campo Limpo Paulista";147;240922,17;648;15
"350970 Campos do Jordão";116;176236,86;802;12
"351000 Cândido Mota";32;49378,51;132;-
"351020 Capão Bonito";104;232412,72;502;18
"351040 Capivari";212;329775,27;659;8
"351050 Caraguatatuba";1162;4932652,78;6282;100
"351060 Carapicuíba";442;826955,80;1960;42
"351080 Casa Branca";18;29036,21;92;3
"351100 Castilho";87;133173,20;407;10
"351110 Catanduva";661;3865238,76;4430;226
"351150 Cerquilho";69;103788,36;360;4
"351160 Cesário Lange";26;39664,36;102;1
"351170 Charqueada";10;15100,30;47;-
"355720 Chavantes";62;93405,66;279;-
"351190 Clementina";23;34500,00;98;-
"351200 Colina";65;97612,00;204;3
"351220 Conchal";31;47520,95;142;3
"351280 Cosmópolis";78;124490,21;790;24
"351300 Cotia";487;2497013,61;4369;115
"351340 Cruzeiro";292;1022034,98;2536;82
"351350 Cubatão";295;1311744,14;2248;34
"351360 Cunha";30;45172,18;131;2
"351370 Descalvado";49;77050,61;265;1
"351380 Diadema";830;2543708,66;7857;177
"351390 Divinolândia";15;23167,49;44;2
"351410 Dois Córregos";27;41560,22;140;-
"351440 Dracena";118;304212,25;613;18
"351450 Duartina";33;49652,20;69;-
"351500 Embu das Artes";697;1939847,75;5121;100
"351510 Embu-Guaçu";132;198000,00;274;4
"351518 Espírito Santo do Pinhal";135;1165871,54;1291;35
"351540 Fartura";5;7524,00;25;-
"351550 Fernandópolis";280;1568508,41;2196;75
"351570 Ferraz de Vasconcelos";572;985994,87;3503;130
"351600 Flórida Paulista";4;6000,00;12;-
"351620 Franca";459;3277950,84;3602;93
"351630 Francisco Morato";394;1104412,47;2906;77
"351640 Franco da Rocha";240;444280,99;1932;8
"351670 Garça";11;16995,15;50;2
"351740 Guaíra";76;121398,21;439;5
"351760 Guapiara";18;27088,00;76;-
"351770 Guará";50;75433,56;166;-
"351820 Guararapes";45;69877,65;257;4
"351830 Guararema";180;270211,32;668;9
"351840 Guaratinguetá";239;894321,57;2093;41
"351860 Guariba";85;138950,91;539;17
"351870 Guarujá";418;3342924,91;5068;172
"351880 Guarulhos";2216;15972619,10;20887;862
"351900 Herculândia";38;57000,00;143;2
"351907 Hortolândia";294;645583,49;1440;56
"351930 Ibaté";8;12059,05;28;-
"351960 Ibitinga";196;442293,62;1407;33
"351970 Ibiúna";137;205500,00;1004;13
"351990 Iepê";31;47490,53;215;4
"352010 Igarapava";44;76137,34;355;12
"352044 Ilha Solteira";60;191539,58;304;8
"352040 Ilhabela";76;129236,75;420;8
"352050 Indaiatuba";553;2481722,74;6013;174
"352090 Ipaussu";58;87552,00;352;2
"352130 Ipuã";51;77584,80;280;7
"352170 Itaberá";9;13676,00;34;-
"352180 Itaí";5;7500,00;34;-
"352190 Itajobi";1;1500,00;-;-
"352210 Itanhaém";249;822571,95;2115;59
"352220 Itapecerica da Serra";791;2547295,84;5865;168
"352230 Itapetininga";256;1098065,55;2335;87
"352240 Itapeva";258;686405,49;2241;81
"352250 Itapevi";636;3690259,67;7715;153
"352260 Itapira";224;926663,96;1859;51
"352270 Itápolis";93;311460,90;503;13
"352280 Itaporanga";28;42228,18;132;-
"352290 Itapuí";7;10676,00;43;-
"352310 Itaquaquecetuba";812;4594034,53;7731;202
"352320 Itararé";93;146814,18;600;9
"352340 Itatiba";84;217254,51;610;7
"352350 Itatinga";16;24000,00;52;-
"352360 Itirapina";33;49578,32;51;1
"352390 Itu";386;862965,16;2829;59
"352400 Itupeva";247;446259,42;1167;28
"352410 Ituverava";261;812637,88;1779;118
"352420 Jaborandi";8;12360,00;45;-
"352430 Jaboticabal";154;946910,58;1444;41
"352440 Jacareí";482;1722152,28;3634;138
"352450 Jaci";157;243046,38;1075;-
"352470 Jaguariúna";158;347339,02;1355;34
"352480 Jales";295;1549522,26;2510;88
"352530 Jaú";290;2791278,30;3082;79
"352590 Jundiaí";1163;12913692,34;10798;463
"352600 Junqueirópolis";14;21432,36;63;-
"352640 Laranjal Paulista";105;774395,38;682;4
"352670 Leme";147;801922,80;1570;37
"352680 Lençóis Paulista";184;685000,09;1320;14
"352690 Limeira";564;3329347,97;6508;189
"352710 Lins";139;564003,67;1002;41
"352720 Lorena";503;1414641,79;4416;55
"352730 Louveira";138;234549,23;893;15
"352740 Lucélia";13;19652,00;108;2
"352800 Macatuba";37;55575,90;92;2
"352850 Mairiporã";365;584213,55;2911;43
"352880 Maracaí";4;6000,00;29;-
"352900 Marília";662;4875126,13;6240;138
"352920 Martinópolis";102;156606,82;590;8
"352930 Matão";176;1140286,42;1366;38
"352940 Mauá";795;2968617,16;5633;153
"352970 Miguelópolis";103;154860,00;403;-
"353010 Mirandópolis";81;287233,96;670;13
"353050 Mococa";165;522963,05;1311;29
"353060 Mogi das Cruzes";2471;14545933,65;22653;573
"353070 Mogi Guaçu";226;671960,54;1968;64
"353080 Mogi Mirim";140;519168,37;880;34
"353110 Mongaguá";1;1524,00;3;-
"353130 Monte Alto";123;1097457,42;1235;39
"353150 Monte Azul Paulista";31;47268,00;121;1
"353180 Monte Mor";50;75056,12;226;6
"353190 Morro Agudo";92;139435,67;422;3
"353200 Morungaba";6;9064,00;17;-
"353240 Nazaré Paulista";4;6088,00;21;-
"353340 Nova Odessa";82;127263,32;249;11
"353350 Novo Horizonte";191;1424434,38;1427;54
"353390 Olímpia";234;1635403,42;1898;55
"353430 Orlândia";80;130654,31;300;8
"353440 Osasco";1999;11404210,30;17807;498
"353460 Osvaldo Cruz";12;19571,59;61;-
"353470 Ourinhos";1077;2921198,78;6045;40
"353490 Pacaembu";7;10500,00;19;-
"353530 Palmital";32;48718,72;112;1
"353540 Panorama";17;25500,00;78;-
"353550 Paraguaçu Paulista";48;222877,27;399;11
"353600 Parapuã";4;6000,00;22;-
"353620 Pariquera-Açu";370;1525624,96;2421;95
"353630 Patrocínio Paulista";37;57316,20;223;1
"353650 Paulínia";202;534508,18;1953;38
"353670 Pederneiras";116;763983,08;579;18
"353700 Pedregulho";10;15000,00;76;-
"353710 Pedreira";57;88850,91;447;11
"353730 Penápolis";14;28717,62;109;7
"353740 Pereira Barreto";5;7644,00;19;1
"353780 Piedade";160;256838,34;1196;42
"353790 Pilar do Sul";31;47629,08;180;3
"353800 Pindamonhangaba";262;852583,90;1712;36
"353860 Piracaia";25;38428,48;141;-
"353870 Piracicaba";958;9583428,76;10639;271
"353880 Piraju";87;133796,86;480;7
"353890 Pirajuí";5;7612,39;14;3
"353930 Pirassununga";98;219089,53;648;16
"353940 Piratininga";9;13508,00;46;1
"353950 Pitangueiras";128;194341,44;639;9
"353980 Poá";199;318352,32;771;23
"354020 Pontal";55;82758,15;254;7
"354060 Porto Feliz";196;359534,37;1282;20
"354070 Porto Ferreira";131;337043,24;870;20
"354080 Potirendaba";1;1508,00;1;-
"354100 Praia Grande";1020;3666394,82;6919;181
"354130 Presidente Epitácio";56;91068,86;277;6
"354140 Presidente Prudente";1103;3563324,22;11373;273
"354150 Presidente Venceslau";161;469088,47;1057;31
"354160 Promissão";100;323804,71;881;18
"354190 Queluz";30;45140,42;146;1
"354220 Rancharia";127;547088,75;880;27
"354240 Regente Feijó";201;303285,80;1067;7
"354260 Registro";387;3173146,47;3369;102
"354300 Ribeirão Branco";27;40700,00;142;1
"354330 Ribeirão Pires";493;739500,00;3752;49
"354340 Ribeirão Preto";1966;22611016,41;24466;600
"354390 Rio Claro";464;1129760,39;3094;83
"354400 Rio das Pedras";86;451744,73;797;17
"354425 Rosana";91;140699,13;498;16
"354500 Salesópolis";23;34500,00;74;3
"354520 Salto";186;565518,32;1472;54
"354540 Salto Grande";18;27080,75;181;-
"354580 Santa Bárbara d'Oeste";93;1246136,44;1113;33
"354630 Santa Cruz das Palmeiras";72;109413,59;276;5
"354640 Santa Cruz do Rio Pardo";236;851016,31;1960;4
"354660 Santa Fé do Sul";166;413204,66;1250;47
"354680 Santa Isabel";96;162972,89;608;5
"354750 Santa Rita do Passa Quatro";42;63056,00;85;3
"354760 Santa Rosa de Viterbo";30;45516,54;183;2
"354730 Santana de Parnaíba";218;327000,00;1549;32
"354770 Santo Anastácio";56;84360,16;272;4
"354780 Santo André";2138;10661824,04;22639;574
"354790 Santo Antônio da Alegria";1;1500,00;1;-
"354850 Santos";2346;13586968,54;22926;537
"354870 São Bernardo do Campo";3774;17908080,23;36811;725
"354880 São Caetano do Sul";1524;5196819,15;8678;207
"354890 São Carlos";472;2147245,73;3533;106
"354910 São João da Boa Vista";117;489820,49;852;47
"354940 São Joaquim da Barra";88;695240,02;1239;28
"354970 São José do Rio Pardo";95;322753,05;707;22
"354980 São José do Rio Preto";3838;36061927,13;38742;938
"354990 São José dos Campos";1101;5214203,17;10439;390
"355000 São Luís do Paraitinga";12;18000,00;21;-
"355010 São Manuel";145;221811,53;1032;16
"355020 São Miguel Arcanjo";61;92632,68;326;5
"355030 São Paulo";32250;207015535,14;312642;7206
"355040 São Pedro";64;359754,49;440;7
"355060 São Roque";184;1005528,73;1448;48
"355070 São Sebastião";99;574888,46;709;8
"355080 São Sebastião da Grama";27;41228,02;125;-
"355090 São Simão";26;39000,00;88;-
"355100 São Vicente";678;3691917,01;4778;214
"355160 Serra Negra";33;50163,69;123;-
"355150 Serrana";398;891678,38;3473;63
"355170 Sertãozinho";317;1643879,78;2401;118
"355200 Silveiras";1;1500,00;3;-
"355210 Socorro";48;73688,67;303;2
"355220 Sorocaba";1489;8397141,38;14871;415
"355240 Sumaré";194;3482684,52;2802;84
"355250 Suzano";443;664597,16;2512;27
"355270 Tabatinga";48;72256,00;173;-
"355280 Taboão da Serra";1041;1784166,75;5035;67
"355300 Taguaí";23;34600,18;119;1
"355330 Tambaú";28;42947,27;146;9
"355340 Tanabi";41;61584,94;152;3
"355370 Taquaritinga";46;146967,47;317;14
"355380 Taquarituba";55;82596,12;290;4
"355400 Tatuí";256;2037452,37;2300;75
"355410 Taubaté";419;3601610,30;5063;132
"355430 Teodoro Sampaio";40;60180,30;184;1
"355440 Terra Roxa";33;49500,00;141;-
"355450 Tietê";70;107219,84;428;7
"355500 Tupã";215;640340,18;1550;59
"355510 Tupi Paulista";58;89265,81;231;1
"355540 Ubatuba";229;866031,59;911;27
"355620 Valinhos";349;2381191,93;3228;94
"355640 Vargem Grande do Sul";55;84704,16;458;6
"355650 Várzea Paulista";75;112500,00;302;-
"355670 Vinhedo";102;318886,45;990;25
"355680 Viradouro";38;57352,12;144;-
"355700 Votorantim";313;1251252,88;2377;69
"355710 Votuporanga";378;2415662,18;2843;86
"410045 Altamira do Paraná";3;4669,60;5;1
"410100 Ampére";28;42096,00;93;1
"410140 Apucarana";327;1972837,84;2266;106
"410150 Arapongas";464;2413472,26;3744;162
"410170 Araruna";28;42360,00;74;-
"410180 Araucária";21;36031,76;81;3
"410200 Assis Chateaubriand";304;3172659,16;2315;53
"410240 Bandeirantes";9;21960,51;31;-
"410250 Barbosa Ferraz";22;33000,00;67;-
"410290 Bituruna";2;3000,00;6;-
"410305 Boa Vista da Aparecida";5;7556,00;14;2
"410360 Cambará";18;27000,00;96;-
"410390 Campina da Lagoa";12;18080,00;29;-
"410400 Campina Grande do Sul";287;1352434,71;2308;81
"410420 Campo Largo";5169;20574643,13;39223;651
"410430 Campo Mourão";179;1596808,96;1890;46
"410450 Capanema";19;28692,00;56;1
"410460 Capitão Leônidas Marques";7;10500,00;34;-
"410480 Cascavel";758;5804980,48;6723;148
"410490 Castro";7;12352,07;40;1
"410520 Cerro Azul";22;33112,00;54;1
"410530 Céu Azul";6;9139,90;31;-
"410540 Chopinzinho";364;564381,77;1938;80
"410550 Cianorte";169;925216,19;1289;30
"410560 Cidade Gaúcha";5;7500,00;15;-
"410570 Clevelândia";103;155924,00;440;-
"410590 Colorado";281;1682484,72;1664;32
"410620 Contenda";2;3000,00;1;-
"410640 Cornélio Procópio";9;17026,14;36;2
"410680 Cruz Machado";4;6000,00;29;-
"410690 Curitiba";6052;48011588,96;57365;1420
"410715 Diamante D'Oeste";6;9008,00;22;-
"410720 Dois Vizinhos";186;293045,71;762;5
"410750 Engenheiro Beltrão";15;22540,00;23;1
"410820 Formosa do Oeste";7;10596,24;37;-
"410830 Foz do Iguaçu";436;1830773,92;4756;76
"410840 Francisco Beltrão";261;2431392,10;2324;92
"410860 Goioerê";141;1253610,67;1062;27
"410880 Guaíra";21;32656,78;91;2
"410930 Guaraniaçu";28;42200,00;137;-
"410940 Guarapuava";215;646414,59;1555;45
"410970 Ibaiti";25;40101,19;118;1
"410975 Ibema";5;7500,00;24;-
"411030 Inajá";1;1516,00;3;-
"411040 Indianópolis";28;42112,00;105;-
"411070 Irati";77;128576,07;592;12
"411100 Itambaracá";11;16652,00;37;-
"411125 Itaperuçu";198;297032,00;683;7
"411150 Ivaiporã";127;268768,40;784;19
"411170 Jaboti";4;6000,00;14;-
"411180 Jacarezinho";65;123629,45;263;3
"411200 Jaguariaíva";36;54050,86;74;3
"411240 Japurá";6;9032,00;17;-
"411275 Jesuítas";18;27040,00;70;1
"411280 Joaquim Távora";5;7540,00;15;-
"411330 Laranjeiras do Sul";106;419179,20;762;10
"411345 Lindoeste";2;3032,00;8;-
"411350 Loanda";60;90808,00;266;2
"411370 Londrina";1229;8563063,85;9203;267
"411390 Mallet";5;7580,00;13;-
"411430 Mandirituba";27;40783,90;80;1
"411440 Mangueirinha";9;14494,87;54;-
"411520 Maringá";1254;8891388,62;9177;239
"411560 Matelândia";24;36329,17;77;1
"411580 Medianeira";133;218824,80;652;4
"411670 Nova Aurora";17;25652,00;69;1
"411680 Nova Cantu";2;3000,00;4;-
"411690 Nova Esperança";4;6064,00;12;-
"411695 Nova Esperança do Sudoeste";1;1500,00;3;-
"411710 Nova Londrina";23;34516,00;52;-
"411722 Nova Santa Rosa";17;25540,00;46;1
"411727 Nova Tebas";1;1500,00;4;-
"411760 Palmas";37;72325,90;182;9
"411770 Palmeira";13;19628,00;48;-
"411790 Palotina";40;63280,50;72;-
"411820 Paranaguá";141;508910,80;1097;61
"411840 Paranavaí";219;455998,08;1335;68
"411850 Pato Branco";145;640896,77;1064;28
"411910 Piên";10;15296,00;39;1
"411960 Pitanga";5;7730,36;5;-
"411970 Planaltina do Paraná";1;1508,00;1;-
"411980 Planalto";1;1500,00;5;-
"411990 Ponta Grossa";983;5819185,31;8125;224
"412035 Pranchita";22;33048,00;49;1
"412090 Quedas do Iguaçu";22;33040,00;54;2
"412100 Querência do Norte";7;10565,17;60;-
"412120 Quitandinha";42;63000,00;134;2
"412180 Ribeirão Claro";3;4532,00;5;-
"412220 Rio Branco do Sul";18;27109,33;44;4
"412230 Rio Negro";33;50465,50;153;3
"412250 Roncador";17;25500,00;41;-
"412260 Rondon";28;42680,12;103;1
"412290 Salto do Itararé";1;1500,00;7;-
"412350 Santa Helena";30;45473,20;122;3
"412370 Santa Isabel do Ivaí";4;6000,00;4;-
"412380 Santa Izabel do Oeste";1;1500,00;2;-
"412410 Santo Antônio da Platina";211;365514,34;1610;78
"412440 Santo Antônio do Sudoeste";18;27160,00;78;-
"412460 São Carlos do Ivaí";1;1500,00;3;-
"412490 São João do Caiuá";4;6072,00;9;-
"412550 São José dos Pinhais";92;1424247,43;1130;30
"412560 São Mateus do Sul";13;19556,00;46;1
"412570 São Miguel do Iguaçu";10;15000,00;29;-
"412625 Sarandi";131;986527,61;1086;30
"412700 Teixeira Soares";2;3040,00;4;-
"412710 Telêmaco Borba";92;188871,70;660;19
"412720 Terra Boa";27;43342,42;68;-
"412760 Tijucas do Sul";37;55516,00;37;1
"412770 Toledo";186;4070742,07;2280;76
"412780 Tomazina";3;4500,00;13;-
"412785 Três Barras do Paraná";14;21559,00;57;-
"412790 Tuneiras do Oeste";2;3000,00;16;-
"412795 Tupãssi";3;4500,00;2;-
"412800 Ubiratã";34;54904,06;146;1
"412810 Umuarama";364;1724519,81;3249;68
"412820 União da Vitória";69;121323,47;514;21
"412855 Vera Cruz do Oeste";9;13592,06;39;-
"412860 Verê";34;51000,00;250;1
"412850 Wenceslau Braz";1;1500,00;1;-
"420040 Água Doce";2;3000,00;8;-
"420140 Araranguá";301;2246074,02;2693;105
"420150 Armazém";75;114812,00;241;2
"420200 Balneário Camboriú";329;4245706,67;3616;71
"420230 Biguaçu";206;339813,18;1383;22
"420240 Blumenau";820;7076957,42;6945;171
"420280 Braço do Norte";200;347663,30;1138;14
"420290 Brusque";277;1542668,84;2184;50
"420300 Caçador";256;1606024,78;2684;58
"420320 Camboriú";65;98011,51;281;6
"420360 Campos Novos";150;238004,78;589;9
"420370 Canelinha";26;39688,00;110;2
"420380 Canoinhas";116;1010905,41;637;35
"420390 Capinzal";62;94024,00;237;2
"420420 Chapecó";685;5982582,67;6280;106
"420430 Concórdia";295;1949860,70;2315;29
"420460 Criciúma";443;5496216,70;5271;144
"420480 Curitibanos";198;1452825,70;1368;41
"420490 Descanso";24;36528,12;142;1
"420540 Florianópolis";669;7638749,31;7581;150
"420550 Fraiburgo";81;125024,33;372;1
"420590 Gaspar";140;855897,42;1152;41
"420650 Guaramirim";74;114789,93;375;2
"420690 Ibirama";33;134312,89;269;13
"420700 Içara";231;857267,71;1244;34
"420730 Imbituba";268;817858,07;1368;55
"420750 Indaial";128;525451,54;553;19
"420760 Ipira";1;1524,00;3;-
"420765 Iporã do Oeste";61;91814,81;328;3
"420780 Irani";2;3000,00;6;-
"420810 Itaiópolis";30;45561,60;108;1
"420820 Itajaí";634;7986296,54;6838;187
"420830 Itapema";261;393325,97;1194;15
"420840 Itapiranga";2;3056,00;9;-
"420850 Ituporanga";112;415563,73;984;14
"420880 Jaguaruna";53;80875,07;307;6
"420890 Jaraguá do Sul";355;1405642,93;3615;64
"420900 Joaçaba";202;1761329,40;1924;28
"420910 Joinville";1305;13014415,64;14182;297
"420930 Lages";573;3594179,18;5099;149
"420940 Laguna";1;1500,00;6;-
"421003 Luzerna";2;3016,00;4;-
"421010 Mafra";74;743241,97;842;19
"421050 Maravilha";103;221441,70;523;7
"421080 Meleiro";77;120533,40;479;8
"421120 Morro da Fumaça";288;435391,32;1671;27
"421130 Navegantes";34;52408,07;239;4
"421150 Nova Trento";104;236617,64;536;19
"421170 Orleans";151;235416,37;938;6
"421210 Palmitos";48;72552,00;141;2
"421220 Papanduva";24;36059,02;127;3
"421250 Penha";93;139500,00;422;2
"421320 Pomerode";58;89608,27;190;4
"421340 Ponte Serrada";5;7500,00;20;-
"421360 Porto União";6;24169,88;40;1
"421370 Pouso Redondo";1;1500,00;5;-
"421380 Praia Grande";165;247895,94;856;4
"421400 Presidente Getúlio";6;9165,10;34;-
"421420 Quilombo";2;3008,00;6;-
"421480 Rio do Sul";98;561746,47;699;13
"421500 Rio Negrinho";46;72227,41;321;4
"421530 Salete";1;1596,12;12;1
"421550 Santa Cecília";72;109297,00;366;-
"421570 Santo Amaro da Imperatriz";49;76854,34;364;8
"421580 São Bento do Sul";92;599124,80;741;15
"421600 São Carlos";36;54224,00;190;4
"421620 São Francisco do Sul";107;161984,44;750;3
"421650 São Joaquim";1;1712,90;6;-
"421660 São José";167;1044030,45;1626;42
"421690 São Lourenço do Oeste";67;102068,09;284;4
"421710 São Martinho";1;1500,00;1;-
"421720 São Miguel do Oeste";208;2310658,89;2187;56
"421750 Seara";41;62937,15;224;1
"421770 Sombrio";51;77300,00;208;7
"421780 Taió";1;1524,00;3;-
"421790 Tangará";1;1532,00;4;-
"421800 Tijucas";76;125369,26;336;8
"421820 Timbó";389;3666293,74;3004;53
"421830 Três Barras";111;182433,41;1001;6
"421840 Treze de Maio";175;264398,00;742;3
"421870 Tubarão";578;3500589,94;4823;117
"421880 Turvo";43;64500,00;198;1
"421900 Urussanga";66;101361,94;453;15
"421930 Videira";199;1044644,43;1555;27
"421935 Vitor Meireles";4;6032,00;15;-
"421950 Xanxerê";467;4158084,72;3694;116
"421970 Xaxim";136;209849,42;640;11
"430003 Aceguá";6;9000,00;21;-
"430010 Agudo";35;55499,25;159;-
"430020 Ajuricaba";8;12312,72;60;1
"430030 Alecrim";20;30568,00;71;-
"430040 Alegrete";171;1382097,45;1292;31
"430050 Alpestre";6;9130,80;39;-
"430060 Alvorada";286;445180,32;2049;58
"430064 Ametista do Sul";24;36568,00;90;-
"430070 Anta Gorda";19;28588,00;53;-
"430080 Antônio Prado";48;76331,74;217;4
"430090 Aratiba";17;26067,35;38;-
"430100 Arroio do Meio";97;147920,11;307;1
"430120 Arroio do Tigre";23;34868,00;90;2
"430130 Arroio Grande";18;27520,00;64;1
"430140 Arvorezinha";35;54193,22;191;-
"430160 Bagé";224;1104097,25;1859;55
"430210 Bento Gonçalves";156;1569927,74;1801;34
"430220 Boa Vista do Buricá";13;19834,01;46;-
"430230 Bom Jesus";5;7500,00;11;-
"430235 Bom Princípio";51;77366,25;237;2
"430240 Bom Retiro do Sul";45;67988,72;252;2
"430245 Boqueirão do Leão";7;10708,00;26;1
"430270 Butiá";1;1500,00;3;-
"430280 Caçapava do Sul";55;85460,72;320;4
"430300 Cachoeira do Sul";74;1175389,40;692;33
"430310 Cachoeirinha";120;187573,46;1057;38
"430330 Caibaté";1;1608,06;11;-
"430340 Caiçara";12;18336,48;68;-
"430350 Camaquã";265;1075614,07;1644;45
"430360 Cambará do Sul";2;3048,00;7;-
"430370 Campina das Missões";11;16588,00;35;2
"430380 Campinas do Sul";6;9224,00;36;-
"430400 Campo Novo";2;3064,80;6;-
"430420 Candelária";24;39246,01;190;1
"430430 Cândido Godói";5;7636,00;20;-
"430440 Canela";118;192374,69;819;11
"430450 Canguçu";98;148917,98;493;8
"430460 Canoas";1473;8768305,65;15615;351
"430463 Capão da Canoa";118;286302,23;959;25
"430470 Carazinho";184;1508026,08;1577;28
"430480 Carlos Barbosa";17;28343,75;83;-
"430490 Casca";38;57952,24;176;-
