 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Município e Ano/mês processamento
Procedimentos:todos
Período:Abr-Dez/2020
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"150790 Soure";140;109;135;132;138;164;146;114;153;1231
"150795 Tailândia";269;240;285;183;623;297;281;313;324;2815
"150797 Terra Santa";58;51;49;56;38;55;50;74;-;431
"150800 Tomé-Açu";186;206;182;230;301;274;227;296;223;2125
"150803 Tracuateua";28;6;7;22;20;33;43;35;26;220
"150805 Trairão";85;95;62;59;84;107;101;80;66;739
"150808 Tucumã";370;335;240;220;202;196;252;278;263;2356
"150810 Tucuruí";306;336;127;103;270;368;306;307;45;2168
"150812 Ulianópolis";191;132;167;146;153;150;-;-;-;939
"150815 Uruará";208;193;164;178;216;220;201;235;-;1615
"150820 Vigia";80;67;92;74;88;93;134;126;101;855
"150830 Viseu";137;113;113;139;142;149;200;185;176;1354
"150835 Vitória do Xingu";98;70;2;139;90;75;131;103;-;708
"150840 Xinguara";173;157;146;175;151;179;212;182;251;1626
"160010 Amapá";-;-;-;-;20;18;21;29;47;135
"160020 Calçoene";26;3;10;13;37;16;18;17;-;140
"160027 Laranjal do Jari";200;160;180;175;228;239;301;311;358;2152
"160030 Macapá";1356;1348;1444;1898;1982;2125;1626;1560;1776;15115
"160040 Mazagão";3;-;7;4;11;6;4;9;8;52
"160050 Oiapoque";89;100;91;109;137;87;83;50;83;829
"160015 Pedra Branca do Amapari";14;14;5;10;16;13;12;10;12;106
"160053 Porto Grande";9;8;12;12;17;13;-;-;-;71
"160060 Santana";303;242;227;248;259;240;129;201;236;2085
"160005 Serra do Navio";-;2;-;4;3;-;1;4;2;16
"160070 Tartarugalzinho";-;-;-;20;21;12;-;-;-;53
"170070 Alvorada";23;8;4;16;-;-;-;-;-;51
"170100 Ananás";3;1;4;5;2;3;1;2;2;23
"170200 Araguaçu";38;46;48;34;-;-;-;-;-;166
"170210 Araguaína";1336;1521;1369;1414;120;126;126;151;147;6310
"170220 Araguatins";18;19;6;18;14;9;21;-;-;105
"170230 Arapoema";47;40;27;36;-;-;-;-;-;150
"170240 Arraias";59;24;35;37;-;-;-;-;-;155
"170255 Augustinópolis";297;285;355;485;-;-;-;-;-;1422
"170370 Brejinho de Nazaré";3;8;5;7;5;4;-;-;-;32
"170550 Colinas do Tocantins";60;43;49;39;37;45;27;56;34;390
"170610 Cristalândia";7;14;20;20;15;13;19;20;-;128
"170700 Dianópolis";41;80;49;21;-;-;-;-;-;191
"170710 Divinópolis do Tocantins";1;2;2;3;4;1;3;6;-;22
"170820 Formoso do Araguaia";3;3;2;2;-;3;2;3;3;21
"170900 Goiatins";5;5;9;9;10;6;10;5;-;59
"170930 Guaraí";153;136;147;179;-;-;-;-;-;615
"170950 Gurupi";539;497;557;609;-;-;-;-;-;2202
"171050 Itacajá";-;12;11;15;9;10;15;11;-;83
"171190 Lagoa da Confusão";8;10;-;18;15;16;15;15;-;97
"171320 Miracema do Tocantins";195;172;172;201;-;-;-;-;-;740
"171420 Natividade";7;13;4;7;6;4;5;6;-;52
"172100 Palmas";2426;2152;1990;2027;-;-;-;-;-;8595
"171575 Palmeirópolis";1;5;3;3;2;2;3;4;-;23
"171610 Paraíso do Tocantins";333;306;269;264;-;-;-;-;-;1172
"171620 Paranã";59;27;61;61;22;16;65;-;-;311
"171650 Pedro Afonso";52;49;72;49;-;-;-;-;-;222
"171660 Peixe";17;24;34;39;18;18;34;-;-;184
"171750 Pium";16;11;22;15;17;12;-;-;-;93
"171790 Ponte Alta do Tocantins";2;1;1;2;3;1;2;2;4;18
"171820 Porto Nacional";330;571;359;489;-;-;-;-;-;1749
"172065 Silvanópolis";1;-;1;-;-;-;-;-;-;2
"172090 Taguatinga";7;11;11;10;16;13;12;8;19;107
"172120 Tocantinópolis";56;63;70;75;63;73;64;59;67;590
"172210 Xambioá";98;92;93;54;-;-;-;-;-;337
"210005 Açailândia";462;525;502;448;416;532;604;469;437;4395
"210010 Afonso Cunha";86;85;84;86;88;88;86;-;-;603
"210020 Alcântara";18;19;26;17;14;6;-;-;-;100
"210030 Aldeias Altas";133;133;132;-;-;3;7;5;9;422
"210043 Alto Alegre do Maranhão";328;201;325;201;199;203;200;197;201;2055
"210047 Alto Alegre do Pindaré";132;81;91;94;135;144;199;-;-;876
"210050 Alto Parnaíba";10;-;-;-;-;-;-;-;-;10
"210060 Amarante do Maranhão";176;134;85;169;226;220;267;105;-;1382
"210070 Anajatuba";16;25;19;28;22;37;-;-;-;147
"210080 Anapurus";75;55;40;25;87;38;68;64;53;505
"210083 Apicum-Açu";83;86;89;84;80;82;98;-;-;602
"210090 Araioses";15;9;2;10;17;20;12;4;-;89
"210095 Arame";148;106;106;57;153;133;164;164;174;1205
"210100 Arari";36;41;-;-;-;-;-;-;-;77
"210110 Axixá";13;-;-;-;-;-;-;-;-;13
"210120 Bacabal";634;524;374;438;582;575;697;825;737;5386
"210130 Bacuri";105;102;85;-;-;-;-;-;-;292
"210140 Balsas";598;629;652;633;552;530;660;697;744;5695
"210150 Barão de Grajaú";17;19;18;27;19;26;31;19;16;192
"210160 Barra do Corda";275;227;221;280;326;329;265;223;137;2283
"210170 Barreirinhas";275;304;209;283;282;303;348;352;355;2711
"210177 Bela Vista do Maranhão";84;66;69;55;77;80;83;61;117;692
"210190 Bequimão";31;64;63;39;54;51;79;52;-;433
"210193 Bernardo do Mearim";5;5;8;7;-;-;-;-;-;25
"210200 Bom Jardim";61;221;185;112;95;-;-;-;-;674
"210203 Bom Jesus das Selvas";69;55;59;38;60;58;91;108;72;610
"210210 Brejo";100;75;142;85;98;97;108;106;138;949
"210230 Buriti Bravo";153;125;126;125;86;82;111;102;99;1009
"210232 Buriticupu";77;145;196;170;242;216;185;230;276;1737
"210240 Cajapió";23;26;17;27;40;39;34;36;30;272
"210250 Cajari";16;13;18;16;23;27;44;21;-;178
"210260 Cândido Mendes";24;27;33;20;37;-;-;-;-;141
"210270 Cantanhede";114;89;92;89;94;47;-;-;-;525
"210280 Carolina";60;48;50;58;58;62;68;83;46;533
"210290 Carutapera";108;112;99;127;154;152;159;161;163;1235
"210300 Caxias";863;874;689;855;849;989;1159;1160;973;8411
"210310 Cedral";61;61;57;55;60;61;31;-;-;386
"210312 Central do Maranhão";58;58;58;41;17;-;-;-;-;232
"210320 Chapadinha";250;293;336;348;384;383;427;400;357;3178
"210325 Cidelândia";80;72;74;78;79;80;80;81;78;702
"210330 Codó";329;305;282;313;344;334;473;335;327;3042
"210340 Coelho Neto";138;124;149;136;135;150;178;160;-;1170
"210350 Colinas";278;298;285;251;290;278;394;396;365;2835
"210355 Conceição do Lago-Açu";77;77;74;-;-;-;-;-;-;228
"210360 Coroatá";351;231;102;176;155;170;127;193;481;1986
"210370 Cururupu";299;254;178;240;297;316;438;463;461;2946
"210380 Dom Pedro";60;82;88;118;115;101;93;17;-;674
"210400 Esperantinópolis";107;74;76;98;105;95;115;109;-;779
"210405 Estreito";127;72;74;78;114;128;111;151;-;855
"210407 Feira Nova do Maranhão";56;56;53;40;30;35;50;56;49;425
"210408 Fernando Falcão";15;12;1;6;10;4;7;5;9;69
"210409 Formosa da Serra Negra";59;59;59;43;59;56;46;41;-;422
"210410 Fortaleza dos Nogueiras";67;70;55;74;60;53;56;33;82;550
"210420 Fortuna";74;73;75;66;51;62;58;-;-;459
"210440 Gonçalves Dias";152;85;87;129;116;142;140;154;219;1224
"210450 Governador Archer";65;66;64;65;64;63;-;-;-;387
"210455 Governador Edison Lobão";32;30;18;19;18;17;19;17;21;191
"210460 Governador Eugênio Barros";71;14;18;44;33;32;33;64;-;309
"210462 Governador Luiz Rocha";48;48;48;45;48;-;-;-;-;237
"210465 Governador Newton Bello";28;21;10;19;37;17;17;18;15;182
"210467 Governador Nunes Freire";343;264;321;400;397;441;434;392;390;3382
"210480 Grajaú";471;377;376;375;421;421;481;489;471;3882
"210490 Guimarães";70;78;80;68;75;70;69;74;72;656
"210500 Humberto de Campos";80;94;133;101;122;111;117;119;-;877
"210510 Icatu";54;40;47;32;60;60;73;60;-;426
"210515 Igarapé do Meio";13;20;20;34;42;-;-;-;-;129
"210520 Igarapé Grande";49;44;24;12;19;24;67;82;-;321
"210530 Imperatriz";1734;2123;1812;1912;1690;1905;1829;1935;2157;17097
"210535 Itaipava do Grajaú";44;69;53;69;54;43;88;49;53;522
"210540 Itapecuru Mirim";236;216;181;219;233;240;237;205;201;1968
"210542 Itinga do Maranhão";50;31;25;31;56;60;88;-;-;341
"210545 Jatobá";8;4;45;42;3;3;1;5;74;185
"210547 Jenipapo dos Vieiras";87;48;30;19;33;7;18;24;19;285
"210550 João Lisboa";56;21;52;65;68;77;80;-;-;419
"210570 Lago da Pedra";402;274;343;390;399;403;404;411;88;3114
"210580 Lago do Junco";27;18;15;3;4;4;10;14;11;106
"210596 Lagoa Grande do Maranhão";32;25;21;30;18;17;10;11;-;164
"210600 Lima Campos";74;74;74;74;74;74;74;-;-;518
"210610 Loreto";39;35;34;45;32;39;35;45;-;304
"210630 Magalhães de Almeida";24;46;21;30;45;19;24;39;-;248
"210637 Maranhãozinho";74;78;84;80;83;74;79;74;75;701
"210640 Mata Roma";36;15;10;10;6;9;-;-;-;86
"210650 Matinha";39;34;46;50;43;61;70;53;60;456
"210660 Matões";85;69;57;58;47;-;-;-;-;316
"210667 Milagres do Maranhão";23;22;14;15;23;11;11;11;-;130
"210670 Mirador";113;113;113;113;113;113;113;113;-;904
"210675 Miranda do Norte";36;46;41;40;60;11;63;-;-;297
"210690 Monção";43;84;133;204;189;174;226;181;103;1337
"210710 Morros";25;49;59;88;96;102;105;113;109;746
"210720 Nina Rodrigues";29;34;18;18;32;23;58;43;-;255
"210725 Nova Colinas";32;32;3;-;-;-;-;9;26;102
"210735 Nova Olinda do Maranhão";130;103;142;96;105;83;105;50;24;838
"210740 Olho d'Água das Cunhãs";113;111;93;110;113;106;112;-;-;758
"210745 Olinda Nova do Maranhão";79;80;59;61;61;72;69;76;61;618
"210750 Paço do Lumiar";20;20;31;-;-;-;-;-;-;71
"210760 Palmeirândia";36;27;49;60;72;74;71;47;-;436
"210770 Paraibano";70;67;59;80;46;68;49;53;-;492
"210780 Parnarama";69;28;46;-;-;-;-;-;-;143
"210790 Passagem Franca";400;379;323;295;315;283;317;325;369;3006
"210800 Pastos Bons";29;39;39;48;17;47;192;190;142;743
"210805 Paulino Neves";61;46;47;42;56;66;66;83;44;511
"210810 Paulo Ramos";180;118;144;174;172;174;144;50;-;1156
"210820 Pedreiras";217;259;27;581;372;371;407;395;395;3024
"210825 Pedro do Rosário";31;14;19;17;15;14;24;13;27;174
"210830 Penalva";100;67;78;53;82;105;82;101;54;722
"210845 Peritoró";272;266;176;179;192;226;212;247;241;2011
"210860 Pinheiro";572;503;483;549;642;820;787;889;252;5497
"210870 Pio XII";80;53;48;38;52;84;115;63;58;591
"210880 Pirapemas";29;31;32;34;27;36;40;37;-;266
"210890 Poção de Pedras";73;43;40;52;72;91;57;65;-;493
"210900 Porto Franco";214;126;131;184;153;198;215;168;85;1474
"210905 Porto Rico do Maranhão";2;1;1;2;5;-;-;-;-;11
"210910 Presidente Dutra";554;548;476;471;596;725;728;727;601;5426
"210927 Presidente Sarney";50;51;45;48;40;55;46;48;50;433
"210930 Presidente Vargas";10;11;11;29;28;39;32;25;-;185
"210940 Primeira Cruz";96;95;98;96;-;-;-;-;-;385
"210945 Raposa";5;6;7;4;5;5;8;5;-;45
"210950 Riachão";160;124;120;110;124;125;120;117;109;1109
"210960 Rosário";117;165;163;179;276;108;86;263;29;1386
"210970 Sambaíba";10;8;33;19;16;35;41;29;29;220
"210980 Santa Helena";101;44;59;91;84;85;119;117;147;847
"210990 Santa Inês";907;769;607;524;624;745;774;893;287;6130
"211000 Santa Luzia";162;125;152;182;172;247;252;252;229;1773
"211003 Santa Luzia do Paruá";-;-;-;11;8;7;7;10;11;54
"211010 Santa Quitéria do Maranhão";48;49;39;64;61;65;55;65;41;487
"211020 Santa Rita";180;156;196;156;-;-;-;-;-;688
"211023 Santana do Maranhão";5;5;7;7;6;9;4;1;1;45
"211027 Santo Amaro do Maranhão";70;71;70;69;68;67;64;-;-;479
